model,method_key,condition,estimand,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent
tabpfn,freq_ratio_log__sel_combined_intersection,all_datasets,relative_percent,45,1.015344501018552,0.2960337419059551,-0.0546419489508265,0.5579687759897445,0.9643021964448053,0.36816948658298077,1.6625195154541232,29,0,16,0.6444444444444445,0.487801005148146,0.7813159892644141,0.0014189321711488363,0.9985810678288511,0.03622713008127221,0.9821510982224027,-0.37118248036243084,5.280605140934933,-1.4457740079734345,8.428313066279928,True
tabpfn,freq_ratio_log__sel_combined_intersection,classification_only,relative_percent,30,1.0141651754980543,0.24501354366867206,-0.0808023183041452,0.7575922005197279,0.9572260547429323,0.14649582123464444,1.881834529761464,18,0,12,0.6,0.4060349300518186,0.7734423511714064,0.011769038564106339,0.9882309614358937,0.18079730402678257,0.8997557889670134,-0.4890778998326725,5.410174519251704,-1.4457740079734345,8.428313066279928,True
tabpfn,freq_ratio_log__sel_combined_intersection,regression_only,relative_percent,15,1.017703152059548,0.3178502877224521,-0.0916810366628793,1.5328143910831344,0.96484375,-0.003324033583114394,2.0387303377022103,11,0,4,0.7333333333333333,0.44899675896302943,0.9221284537089564,0.025326882190054405,0.9746731178099456,0.05923461914062499,0.982421875,-0.21228377637337337,3.774528481714291,-0.4261165011360588,5.506870372609989,True
tabpfn,freq_ratio_log__sel_combined_intersection,mechanism_possible_n_cat_gt_0,relative_percent,32,0.9036786167170574,0.26459501631770566,-0.0808023183041452,0.5925425673144372,0.9799383929930627,0.2470152052094935,1.5603420282246212,21,0,11,0.65625,0.4680689637197313,0.8142809082834338,0.004287594418493967,0.9957124055815061,0.055092082591727376,0.9749487701337785,-0.2422834195854029,4.779497099898013,-0.9888323839040288,5.545870813285762,True
tabpfn,freq_ratio_log__sel_combined_intersection,no_categorical_columns,relative_percent,13,1.2902143700683857,0.3178502877224521,-0.288781449201989,1.773020520587553,0.9775390625,-0.4538559435172935,3.034284683654065,8,0,5,0.6153846153846154,0.31577760291406304,0.8614206611098394,0.0664867167972425,0.9335132832027575,0.29052734375,0.8665771484375,-0.703698567599052,5.568097762489298,-1.4457740079734345,8.428313066279928,True
tabpfn,freq_ratio_log__sel_combined_intersection,estimator_sensitivity_lift_pct,relative_percent,45,1.0578788088780564,0.3178502877224521,-0.0550902901686625,0.5579687759897445,0.9643021964448053,0.3784134230462701,1.7373441947098427,29,0,16,0.6444444444444445,0.487801005148146,0.7813159892644141,0.0015174702818669982,0.998482529718133,0.03622713008127221,0.9821510982224027,-0.44959079038431793,5.280605140934933,-1.5161722890992329,8.428313066279928,True
tabpfn,freq_ratio_log__sel_combined_intersection,source_equal,relative_percent,34,1.067082582796479,0.30862217564845146,-0.0546419489508265,0.9122630480121452,0.9756934898905456,0.29021800126805997,1.843947164324898,23,0,11,0.6764705882352942,0.49473469910149537,0.8261165725060786,0.004295368642880654,0.9957046313571193,0.028806336456909776,0.9878467449452728,-0.4042284131816951,4.825591015319075,-1.4457740079734345,8.428313066279928,True
tabpfn,freq_ratio_log__sel_combined_intersection,classification_with_metric,accuracy_absolute_gain,35,0.0006038641675759224,0.0,-0.0005797101449275532,0.0006262716999459288,0.959040408488363,-0.0009244633820556582,0.002132191717207503,15,4,16,0.4838709677419355,0.3015456507123412,0.6693940269482427,0.21378521656167682,0.7862147834383232,0.639949934091419,0.5,-0.0020690462985733515,0.002266666666666696,-0.003399999999999903,0.024445280180519058,True
tabpfn,freq_ratio_log__sel_combined_intersection,classification_with_metric,accuracy_error_reduction_pct,30,0.09500841762696922,-0.0005626279978402214,-0.4032258064515872,0.19642569895907788,0.9572260547429323,-0.6300610929715182,0.8200779282254567,12,3,15,0.4444444444444444,0.25479880663173776,0.6467357696779945,0.3953006202719055,0.6046993797280944,0.7789658308029175,0.3505540192127228,-0.9352452492846413,1.3833232622626337,-3.752759381898348,7.981989357347546,True
tabpfn,freq_ratio_log__sel_combined_intersection,classification_with_metric,log_loss_absolute_decrease,35,0.00023371931146910234,-0.0001447284575516461,-0.0004741856051808102,0.0004841871135836673,0.959040408488363,-0.0006628003768400074,0.001130238999778212,13,0,22,0.37142857142857144,0.21473211811438894,0.5507688358126774,0.29984726300070474,0.7001527369992953,0.9552344605326653,0.087732624495402,-0.0017013179522529951,0.0031612751645840095,-0.006292015362822312,0.009196799852515647,True
