model,dataset,dataset_family,domain_auc,shift_bin,near_perfect_base,n_target_variants,n_harmful_excluded_using_other_datasets,n_variants_retained_with_relative_effect,mean_retained_pct,median_retained_pct,frac_retained_positive,profile_status,best_retained_variants
bag8,students_dropout_and_academic_success,TabArena_IID,0.4990070724969652,DAUC < 0.55,False,144,73,71,0.04954050854814691,0.3453522369857453,0.5915492957746479,descriptive_correlated_variants_no_ci,target_enc_inv_ratio:1.628896;target_enc_standard_m10:1.619803;target_enc_ratio__sel_combined_intersection:1.608570;target_enc_diff:1.518334;target_enc_ratio:1.465792
bag8,superconductivity,TabArena_IID,0.4966916245247805,DAUC < 0.55,False,135,71,64,-0.20437041638113776,0.0,0.28125,descriptive_correlated_variants_no_ci,adversarial_reweight_lgbm_raw_hard:0.212481;adversarial_reweight_lgbm_ratio_hard_tempered:0.173620;adversarial_reweight_lgbm_ratio_winsorize_tempered:0.166778;cluster_membership_k10_feature_cumshift:0.151604;cluster_membership_k10_weight:0.135563
bag8,synthetic_label_shift,synthetic,0.54006835,DAUC < 0.55,False,142,72,70,-0.032637197822991605,-0.02725362531634975,0.07142857142857142,descriptive_correlated_variants_no_ci,pca_train_only_10:0.011276;pca_train_only_var95:0.011276;pseudo_label_v2_cal_iso_wquad_conf90:0.010887;joint_freq_separate:0.009882;adversarial_reweight_lgbm_cal_iso_ratio_winsorize:0.002242
bag8,synthetic_large_test,synthetic,0.64072835,0.55 <= DAUC < 0.75,False,144,74,70,-0.26453048336596485,-0.0652398989174065,0.24285714285714285,descriptive_correlated_variants_no_ci,pca_train_only_10:0.628645;pca_train_only_var95:0.628645;target_enc_oof_inv_ratio:0.295023;target_enc_oof_absolute:0.192301;target_enc_oof_diff:0.192301
bag8,synthetic_partial_shift,synthetic,0.5587177999999999,0.55 <= DAUC < 0.75,False,142,72,70,-0.02198363946005254,-0.02010700236844605,0.3,descriptive_correlated_variants_no_ci,pca_train_only_10:0.044460;pca_train_only_var95:0.044460;joint_groupby_combined__sel_combined_union:0.020119;freq_ratio_v2_both_gated:0.019002;freq_ratio_v2_diff_gated:0.019002
bag8,synthetic_shift_0.0,synthetic,0.49784605,DAUC < 0.55,False,144,75,69,0.09449384628738537,0.0960461205042284,0.7101449275362319,descriptive_correlated_variants_no_ci,target_enc_oof_absolute:0.324707;target_enc_oof_diff:0.324707;target_enc_oof_inv_ratio:0.324707;target_enc_oof_ratio:0.324707;target_enc_oof_ratio_cap5:0.324707
bag8,synthetic_shift_0.5,synthetic,0.5719888750000001,0.55 <= DAUC < 0.75,False,144,72,72,0.04120188691858711,0.0514266749739578,0.6527777777777778,descriptive_correlated_variants_no_ci,ot_disp_v2_selective_abs:0.231786;target_enc_oof_absolute:0.194348;target_enc_oof_diff:0.194348;target_enc_oof_inv_ratio:0.194348;target_enc_oof_ratio:0.194348
bag8,synthetic_shift_1.0,synthetic,0.643362075,0.55 <= DAUC < 0.75,False,144,72,72,-0.11297199263969314,-0.04760084437804755,0.3472222222222222,descriptive_correlated_variants_no_ci,ot_disp_v2_selective_abs:0.149856;joint_groupby_mean_only:0.100959;target_enc_absolute:0.094704;target_enc_diff:0.094704;target_enc_inv_ratio:0.094704
bag8,synthetic_shift_3.0,synthetic,0.8405509999999999,0.75 <= DAUC < 0.95,False,144,72,72,-0.6539584397681364,-0.14009574437483407,0.25,descriptive_correlated_variants_no_ci,pseudo_label_v2_cal_iso_wfixed_conf90:0.280825;target_enc_oof_diff:0.186049;target_enc_oof_inv_ratio:0.186049;cluster_membership_k10_feature_cumshift:0.177459;pseudo_label_v2_cal_iso_wquad_conf90:0.124287
bag8,synthetic_shift_5.0,synthetic,0.93479215,0.75 <= DAUC < 0.95,False,144,73,71,-1.448039045221213,-0.0272050726024778,0.39436619718309857,descriptive_correlated_variants_no_ci,target_enc_oof_absolute:0.365277;target_enc_oof_inv_ratio:0.341922;target_enc_oof_diff:0.327135;groupby_shift_ratio_log:0.264574;groupby_shift_ratio_raw:0.264574
