model,method_key,method_role,family,n_sources,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,n_datasets,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
tabpfn,nearest_test_k5_both,test_time_variant,M16_nearest_test_dist,34,-1.6626446539964936,0.015354292672500467,-1.060469309094084,0.7702203814894738,0.9756934898905456,-5.813755156941301,2.488465848948314,17,0,17,0.5,0.32426927002132083,0.6757307299786791,0.7895096787205991,0.21049032127940093,0.5679168797796592,0.5679168797796592,-5.845768445427371,3.4402179155623944,-59.71077019978768,22.62824398023005,True,34,0.9999546601097666,1.0,0.3627938272239984,1.0,0.9999999995343387,1.0,0.6959581103276562,1.0,False,False,False,False,False
tabpfn,nearest_test_rel_k10_both,test_time_variant,M16_nearest_test_dist,34,-2.4504150893188577,-0.8997356949986498,-1.730223481051899,-0.119988469512468,0.9756934898905456,-6.69995941798031,1.7991292393425944,9,0,25,0.2647058823529412,0.1288173915835082,0.44361536830510667,0.8754354317910814,0.12456456820891859,0.99853247217834,0.004520592745393515,-6.816876084410364,3.0803338421245874,-61.84040779355855,23.466925947826446,True,34,0.9999546601097666,1.0,0.26692407473339697,1.0,0.9999999995343387,1.0,0.014884878551905475,0.456579867284745,False,False,False,False,False
tabpfn,nearest_test_rel_k10_cumshift_both,test_time_variant,M16_nearest_test_dist,34,-2.49548252544845,-0.6054326052465127,-1.907238931145253,-0.09836522315070062,0.9756934898905456,-6.37687446011706,1.3859094092201598,10,0,24,0.29411764705882354,0.15098366442302852,0.4747810603404859,0.9000543081155057,0.09994569188449426,0.9954794072546065,0.012153255054727197,-10.548277878778961,2.188520505400758,-52.36551436472671,24.163510244095896,True,34,0.9999546601097666,1.0,0.2286892949899445,1.0,0.9999999995343387,1.0,0.0356671615736559,1.0,False,False,False,False,False
tabpfn,nearest_test_rel_k5_both,test_time_variant,M16_nearest_test_dist,34,-2.7463534195897203,-0.5022810895264627,-1.8516531541800128,-0.031032204092406868,0.9756934898905456,-7.101680266116296,1.6089734269368554,9,0,25,0.2647058823529412,0.1288173915835082,0.44361536830510667,0.8957696215740785,0.10423037842592146,0.99853247217834,0.004520592745393515,-8.17502326061671,2.996204751576779,-64.68792385086422,20.041863945515605,True,34,0.9999546601097666,1.0,0.23451835145832328,1.0,0.9999999995343387,1.0,0.014884878551905475,0.456579867284745,False,False,False,False,False
tabpfn,neighbor_consensus_k10_dist,test_time_variant,M19_neighbor_consensus,34,-11.654113047247355,-6.983634900500775,-9.844721428718357,-2.654556518307849,0.9756934898905456,-19.46620232205069,-3.842023772444019,2,0,32,0.058823529411764705,0.007204917439049714,0.19677320933557554,0.9976672474430109,0.002332752556989081,0.9999999979627319,3.4691765904426575e-08,-19.41539678627667,-0.3692531374503781,-123.96599548348728,13.466588494903462,True,34,0.9999546601097666,1.0,0.029925209189368786,0.2939268221806242,0.9999999995343387,1.0,6.690554852996553e-07,4.6140048652887344e-06,False,True,False,True,False
tabpfn,neighbor_consensus_k10_dist_cumshift,test_time_variant,M19_neighbor_consensus,34,-11.730944905507611,-4.565911219787143,-10.46122290870212,-2.446960245624884,0.9756934898905456,-20.57144851663299,-2.8904412943822315,2,0,32,0.058823529411764705,0.007204917439049714,0.19677320933557554,0.9945698013252364,0.005430198674763572,0.9999999979627319,3.4691765904426575e-08,-18.510934325267566,-0.31012152257888853,-141.05116599685806,13.237757614158706,True,34,0.9999546601097666,1.0,0.03332167368604919,0.6190426489230472,0.9999999995343387,1.0,6.690554852996553e-07,4.6140048652887344e-06,False,True,False,True,False
tabpfn,neighbor_consensus_k10_uniform,test_time_variant,M19_neighbor_consensus,34,-9.936297574313807,-6.266299277077408,-7.847946905341651,-2.684579487241247,0.9756934898905456,-17.19858965671302,-2.6740054919145937,3,0,31,0.08823529411764706,0.018579503440840316,0.23677527428693765,0.9955861825551319,0.004413817444868196,0.9999999653082341,3.8300640881061554e-07,-17.620458471220605,-0.23315962339683655,-117.2116839375602,13.508910637780398,True,34,0.9999546601097666,1.0,0.029925209189368786,0.5164166410495789,0.9999999995343387,1.0,6.463233148679137e-06,4.902482032775879e-05,False,True,False,True,False
tabpfn,neighbor_consensus_k20_dist,test_time_variant,M19_neighbor_consensus,34,-11.373970624833433,-4.719360023125766,-8.431681220833813,-2.4763927639696663,0.9756934898905456,-20.166277328115598,-2.5816639215512662,2,0,32,0.058823529411764705,0.007204917439049714,0.19677320933557554,0.9935940596833912,0.00640594031660873,0.9999999979627319,3.4691765904426575e-08,-18.97032676258478,-0.33054537074850654,-139.12941666131417,13.4082638807819,True,34,0.9999546601097666,1.0,0.03682664790221137,0.7238712557767866,0.9999999995343387,1.0,6.690554852996553e-07,4.6140048652887344e-06,False,True,False,True,False
tabpfn,neighbor_consensus_k5_dist,test_time_variant,M19_neighbor_consensus,34,-12.347835276193258,-6.34771467586738,-9.852682064895935,-2.727281001332585,0.9756934898905456,-20.968092191346685,-3.727578361039834,2,0,32,0.058823529411764705,0.007204917439049714,0.19677320933557554,0.9968213898305264,0.003178610169473561,0.9999999979627319,3.4691765904426575e-08,-23.11102994849896,-0.43475965141925543,-138.40290974906208,13.963466919508026,True,34,0.9999546601097666,1.0,0.029925209189368786,0.390969050845248,0.9999999995343387,1.0,6.690554852996553e-07,4.6140048652887344e-06,False,True,False,True,False
tabpfn,neighbor_consensus_k5_dist_cumshift,test_time_variant,M19_neighbor_consensus,34,-12.316104544023137,-5.300343240193364,-9.414532574467492,-2.90881793785519,0.9756934898905456,-21.387616551087845,-3.244592536958427,2,0,32,0.058823529411764705,0.007204917439049714,0.19677320933557554,0.9953449674594315,0.004655032540568478,0.9999999979627319,3.4691765904426575e-08,-23.70377444694417,-0.4188976510391111,-145.68143931521016,13.475958967437764,True,34,0.9999546601097666,1.0,0.029925209189368786,0.535328742165375,0.9999999995343387,1.0,6.690554852996553e-07,4.6140048652887344e-06,False,True,False,True,False
tabpfn,ot_disp_v2_selective,test_time_variant,M9_ot_displacement,33,-6.047819822731829,-1.7724914760886723,-4.449243740273186,-0.5690733022799146,0.9649179666303098,-9.458240223229588,-2.6373994222340698,5,0,28,0.15151515151515152,0.051088699356081194,0.3189898197104364,0.9994866570484626,0.0005133429515374137,0.9999945356976241,3.309384919703007e-05,-17.80775762002717,0.16205773540033946,-33.37423997788133,7.040064633296462,True,33,0.9999546601097666,1.0,0.013860259691510172,0.0672479266514012,0.9999999995343387,1.0,0.0004061517855999145,0.004136731149628758,False,True,False,True,False
tabpfn,ot_disp_v2_selective_abs,test_time_variant,M9_ot_displacement,33,-2.4735265635766286,-0.853290134430923,-1.5579555618900849,-0.0187829117517764,0.9649179666303098,-4.849255199869638,-0.09779792728361958,9,0,24,0.2727272727272727,0.13299638871081496,0.4552384277607818,0.979108040983994,0.02089195901600603,0.9977243079338223,0.0067654934246093035,-9.213789185425455,0.9883076455950668,-23.417797332115143,11.958328348995034,True,33,0.9999546601097666,1.0,0.08058327049030899,1.0,0.9999999995343387,1.0,0.02124050261214549,0.6291908884886652,False,True,False,False,False
