model,method_key,omitted_dataset,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent
bag8,joint_freq_combined,taiwanese_bankruptcy_prediction,85,0.4611234788832712,0.0,0.0,0.043481540680381,0.9705436382142211,0.15198523038827771,0.7702617273782647,37,30,18,0.6727272727272727,0.5329289517645851,0.7931918831325925,0.0019619939662776464,0.9980380060337224,0.007226916766913864,0.9967720984450217,-0.07762660181891157,1.2930163674195598,-1.4925030793981184,8.753469086311608,True
bag8,joint_freq_combined,tschalzev_mbgm,85,0.4582081100897961,0.0,0.0,0.0260782398857177,0.9705436382142211,0.14892082660658196,0.7674953935730102,36,31,18,0.6666666666666666,0.525255035167298,0.7890800946414241,0.0020815711919627083,0.9979184288080373,0.00991716336403414,0.9954633298302065,-0.07762660181891157,1.2930163674195598,-1.4925030793981184,8.753469086311608,True
bag8,joint_freq_combined,tschalzev_ogpcc,85,0.4611244951080073,0.0,0.0,0.043481540680381,0.9705436382142211,0.15198631798294288,0.7702626722330717,37,31,17,0.6851851851851852,0.5444760051271569,0.8047605889968084,0.001961952320780421,0.9980380476792196,0.004536670169793587,0.998080867059837,-0.07762660181891157,1.2930163674195598,-1.4925030793981184,8.753469086311608,True
bag8,joint_freq_combined,tschalzev_sctp,85,0.4611234788832712,0.0,0.0,0.043481540680381,0.9705436382142211,0.15198523038827771,0.7702617273782647,37,30,18,0.6727272727272727,0.5329289517645851,0.7931918831325925,0.0019619939662776464,0.9980380060337224,0.007226916766913864,0.9967720984450217,-0.07762660181891157,1.2930163674195598,-1.4925030793981184,8.753469086311608,True
bag8,joint_freq_combined,website_phishing,85,0.4723948202136998,0.0,0.0,0.043481540680381,0.9705436382142211,0.16488430328673037,0.7799053371406692,37,31,17,0.6851851851851852,0.5444760051271569,0.8047605889968084,0.001508373267799616,0.9984916267322004,0.004536670169793587,0.998080867059837,-0.04766842464102154,1.2930163674195598,-1.4925030793981184,8.753469086311608,True
bag8,joint_freq_combined,wine_quality,85,0.4611234788832712,0.0,0.0,0.043481540680381,0.9705436382142211,0.15198523038827771,0.7702617273782647,37,30,18,0.6727272727272727,0.5329289517645851,0.7931918831325925,0.0019619939662776464,0.9980380060337224,0.007226916766913864,0.9967720984450217,-0.07762660181891157,1.2930163674195598,-1.4925030793981184,8.753469086311608,True
bag8,joint_freq_combined__sel_combined_intersection,Amazon_employee_access,85,0.21017267437146692,0.0,-0.0003162236035135,0.0008353530793474,0.9705436382142211,0.02690175519889601,0.3934435935440378,41,9,35,0.5394736842105263,0.42125482503267075,0.6545224698415699,0.012554959652626763,0.9874450403473732,0.2832867211993425,0.7889044475038421,-0.22224500186046606,0.9093346357803668,-1.2559324258492155,4.861829748119429,True
bag8,joint_freq_combined__sel_combined_intersection,Another-Dataset-on-used-Fiat-500,85,0.27445172156269,0.0,-3.169109347156883e-05,0.0010286982291316,0.9705436382142211,0.054074698129884885,0.4948287449954951,42,9,34,0.5526315789473685,0.4341488221158362,0.6668868921790785,0.007635835800757562,0.9923641641992424,0.21109555249615783,0.8490637547564961,-0.22224500186046606,1.033405146441015,-1.2559324258492155,5.448907674921139,True
bag8,joint_freq_combined__sel_combined_intersection,Bank_Customer_Churn,85,0.2742774705470098,0.0,-0.0003162236035135,0.0010286982291316,0.9705436382142211,0.053889958608074995,0.4946649824859446,42,8,35,0.5454545454545454,0.4279049290065848,0.6594015897233974,0.007669536516797647,0.9923304634832024,0.24719113684775001,0.8189841011301693,-0.22224500186046606,1.033405146441015,-1.2559324258492155,5.448907674921139,True
bag8,joint_freq_combined__sel_combined_intersection,Bioresponse,85,0.2742774705470098,0.0,-0.0003162236035135,0.0010286982291316,0.9705436382142211,0.053889958608074995,0.4946649824859446,42,8,35,0.5454545454545454,0.4279049290065848,0.6594015897233974,0.007669536516797647,0.9923304634832024,0.24719113684775001,0.8189841011301693,-0.22224500186046606,1.033405146441015,-1.2559324258492155,5.448907674921139,True
