estimator,model,method_key,method_role,family,model_roster_datasets,execution_n_datasets,execution_coverage_pct,near_perfect_datasets_masked,n_fold_cells,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
masked_lift_pct,tabicl,target_enc_absolute,test_time_variant,M4_target_encoding,55,55,100.0,6,131,49,-1.1008511998176174,-0.0001340473746656,-0.2761766328880379,0.0,0.9556158390128502,-2.09946441044864,-0.10223798918659466,15,6,28,0.3488372093023256,0.21007815700666993,0.5092663604753611,0.9842843822229347,0.015715617777065306,0.9842302513234245,0.03299701722789905,-2.3837253887794736,0.1263680307841184,-20.99636688581285,3.111818857651516,True,0.9999999999999972,1.0,0.022570302126636344,0.6600559466367428,1.0,1.0,0.04202450307326766,1.0,False,True,False,False,False
masked_lift_pct,tabicl,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,55,55,100.0,6,131,49,-1.1122685037086,-0.267669883622161,-0.7431251262303405,-0.0177403362160661,0.9556158390128502,-2.2332520844945236,0.008715077077323663,17,0,32,0.3469387755102041,0.216724378107481,0.4963871977194642,0.9741316686993213,0.025868331300678737,0.9893529429293064,0.022192080493574906,-2.4360928613467268,0.542957814046053,-21.190674764289643,5.727780647803932,True,0.9999999999999972,1.0,0.03423749730972186,0.9050013235291686,1.0,1.0,0.02908670744303507,0.8211069782622715,False,False,False,False,False
masked_lift_pct,tabicl,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,55,55,100.0,6,131,49,-1.1123617275133812,-0.267669883622161,-0.7431251262303405,-0.0177403362160661,0.9556158390128502,-2.233328097840704,0.008604642813941688,17,0,32,0.3469387755102041,0.216724378107481,0.4963871977194642,0.974142819327738,0.025857180672261962,0.9893529429293064,0.022192080493574906,-2.4360777245005645,0.5430079957328948,-21.19067905178247,5.727521505216837,True,0.9999999999999972,1.0,0.03423749730972186,0.9050013235291686,1.0,1.0,0.02908670744303507,0.8211069782622715,False,False,False,False,False
masked_lift_pct,tabicl,cluster_membership_k5_both,test_time_variant,M20_cluster_membership,55,55,100.0,6,131,49,-1.1159869571035286,-0.8075924824936832,-1.5279357990395117,-0.1367014750143581,0.9556158390128502,-1.7677175205860092,-0.46425639362104787,15,0,34,0.30612244897959184,0.18251944764587352,0.4541524365052456,0.9993985372897767,0.0006014627102233596,0.9980991727951256,0.004699620761936529,-4.368541522650539,0.48750937837065095,-5.852470150471937,5.622921337036991,True,0.9999999999999972,1.0,0.0020299366470038385,0.05774042018144252,1.0,1.0,0.006971964866609137,0.22088217581101688,False,True,False,True,False
masked_lift_pct,tabicl,cluster_membership_k5_feature,test_time_variant,M20_cluster_membership,55,55,100.0,6,131,49,-1.1188201895416865,-0.807591615668526,-1.528178360880463,-0.1367353015470146,0.9556158390128502,-1.771235249949123,-0.4664051291342498,15,0,34,0.30612244897959184,0.18251944764587352,0.4541524365052456,0.9994075829492365,0.0005924170507635167,0.9980991727951256,0.004699620761936529,-4.36857816838098,0.4874995950992771,-5.852470150471937,5.623692304811932,True,0.9999999999999972,1.0,0.0020299366470038385,0.05746445392406112,1.0,1.0,0.006971964866609137,0.22088217581101688,False,True,False,True,False
masked_lift_pct,tabicl,groupby_shift_cohen_d__sel_combined_union,test_time_variant,selective,55,51,92.72727272727273,6,127,45,-1.1328013883406356,-0.1954908709965811,-0.3752715783797475,-0.0453824679362936,0.9643021964448053,-1.9139361645158037,-0.3516666121654676,12,0,33,0.26666666666666666,0.1460407158381299,0.4194467047420176,0.9972690846564767,0.002730915343523283,0.9995879588202001,0.001229450161048362,-4.946184047864847,0.434100838577622,-11.528539053434407,2.4256531285246155,True,0.9999999999999972,1.0,0.005343095237328162,0.18297132801605998,1.0,1.0,0.001999708093271432,0.06516085853556318,False,True,False,True,False
masked_lift_pct,tabicl,cluster_membership_k10_weight,test_time_variant,M20_cluster_membership,55,55,100.0,6,131,49,-1.1741082781017493,-0.3060381405026299,-0.774041844022137,-0.0647444373149095,0.9556158390128502,-1.9993069496527245,-0.3489096065507742,15,0,34,0.30612244897959184,0.18251944764587352,0.4541524365052456,0.996879590226828,0.0031204097731719685,0.9980991727951256,0.004699620761936529,-3.2083948154703443,0.3030025040253919,-15.30127443391808,2.722654760754289,True,0.9999999999999972,1.0,0.005933173512369236,0.20282663525617795,1.0,1.0,0.006971964866609137,0.22088217581101688,False,True,False,True,False
masked_lift_pct,tabicl,adversarial_lgbm_feature,test_time_variant,M6_adversarial,55,55,100.0,6,131,49,-1.2914608618689554,-0.2018513768709386,-0.5887865672300325,0.0474668520819051,0.9556158390128502,-2.4967755968390555,-0.08614612689885526,18,0,31,0.3673469387755102,0.2342241555366111,0.5171223088306072,0.9818689193334967,0.01813108066650327,0.9778079195064251,0.04271656657869727,-2.970073729240669,0.5265922689084211,-20.506487689366068,6.218664202867216,True,0.9999999999999972,1.0,0.024724200908868097,0.7097605780260697,1.0,1.0,0.05242487716476483,1.0,False,True,False,False,False
masked_lift_pct,tabicl,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,55,55,100.0,6,131,49,-1.2915383523297996,-0.2018513768709386,-0.5887865672300325,0.0474668520819051,0.9556158390128502,-2.496898467106275,-0.08617823755332443,18,0,31,0.3673469387755102,0.2342241555366111,0.5171223088306072,0.9818709108467534,0.018129089153246604,0.9778079195064251,0.04271656657869727,-2.9702273997963355,0.5265699040898321,-20.50791653323127,6.218664202867216,True,0.9999999999999972,1.0,0.024724200908868097,0.7097605780260697,1.0,1.0,0.05242487716476483,1.0,False,True,False,False,False
masked_lift_pct,tabicl,leaf_density_conf_deep,test_time_variant,M18_leaf_density,55,55,100.0,6,131,49,-1.296116999279236,-1.0433990312400452,-1.5821410472193915,-0.2713170894102816,0.9556158390128502,-2.607522546509652,0.015288547951180176,13,0,36,0.2653061224489796,0.14947072872076805,0.4108171411564202,0.973688239393602,0.02631176060639795,0.9997651213409959,0.0007013442518477575,-4.837240297770323,1.6325222597183924,-19.771295090539105,12.533890395128664,True,0.9999999999999972,1.0,0.0344862881734342,0.9050013235291686,1.0,1.0,0.0011835184249930908,0.040677966607169935,False,False,False,False,False
