model,method_key,dataset,dataset_lift_pct,variant_mean_all_pct,variant_mean_without_dataset_pct,mean_change_when_removed_pct,influence_direction,absolute_influence_rank
bag8,joint_freq_separate__sel_combined_intersection,folktables_travel_time,-0.0763781140340232,0.2604726634142643,0.2644356137371853,0.003962950322921044,pulls_mean_down,27.0
bag8,joint_freq_separate__sel_combined_intersection,taiwanese_bankruptcy_prediction,-0.0686735698258048,0.2604726634142643,0.264344972040618,0.0038723086263537376,pulls_mean_down,28.0
bag8,joint_freq_separate__sel_combined_intersection,Fitness_Club,-0.0574964806533045,0.2604726634142643,0.26421347687388275,0.003740813459618464,pulls_mean_down,29.0
bag8,joint_freq_separate__sel_combined_intersection,folktables_employment,-0.0233618376603728,0.2604726634142643,0.2638118928386718,0.0033392294244075083,pulls_mean_down,30.0
bag8,joint_freq_separate__sel_combined_intersection,QSAR-TID-11,-0.0172825112144518,0.2604726634142643,0.26374037135107276,0.0032677079368084727,pulls_mean_down,32.0
bag8,joint_freq_separate__sel_combined_intersection,Another-Dataset-on-used-Fiat-500,-0.0148113363328209,0.2604726634142643,0.2637112987054065,0.003238635291142211,pulls_mean_down,33.0
bag8,joint_freq_separate__sel_combined_intersection,synthetic_label_shift,-0.0127953988083619,0.2604726634142643,0.26368758179335405,0.0032149183790897706,pulls_mean_down,34.0
bag8,joint_freq_separate__sel_combined_intersection,seismic-bumps,-0.0119840690645617,0.2604726634142643,0.26367803673754464,0.0032053733232803583,pulls_mean_down,35.0
bag8,joint_freq_separate__sel_combined_intersection,folktables_coverage_covid,-0.007657690987732,0.2604726634142643,0.2636271381719349,0.003154474757670611,pulls_mean_down,36.0
bag8,joint_freq_separate__sel_combined_intersection,superconductivity,-0.007515476161698,0.2604726634142643,0.26362546505633444,0.0031528016420701577,pulls_mean_down,37.0
bag8,joint_freq_separate__sel_combined_intersection,tabred_weather__gap_near,-0.0052414050691074,0.2604726634142643,0.26359871127877454,0.003126047864510262,pulls_mean_down,38.0
bag8,joint_freq_separate__sel_combined_intersection,E-CommereShippingData,-0.0051219669420378,0.2604726634142643,0.26359730612433846,0.003124642710074177,pulls_mean_down,39.0
bag8,joint_freq_separate__sel_combined_intersection,miami_housing,-0.0020177169806478,0.2604726634142643,0.26356078553655743,0.0030881221222931465,pulls_mean_down,40.0
bag8,joint_freq_separate__sel_combined_intersection,shifts_weather,-0.000621674775385,0.2604726634142643,0.26354436151061317,0.003071698096348885,pulls_mean_down,41.0
bag8,joint_freq_separate__sel_combined_intersection,concrete_compressive_strength,-0.0005940518927285,0.2604726634142643,0.26354403653552305,0.003071373121258769,pulls_mean_down,42.0
