model,method_key,dataset,dataset_family,n_folds,positive_folds,tie_folds,negative_folds,all_folds_positive,all_folds_nonnegative,mixed_positive_negative
bag8,joint_freq_combined,Fitness_Club,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined,Food_Delivery_Time,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined,GiveMeSomeCredit,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,HR_Analytics_Job_Change_of_Data_Scientists,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,Is-this-a-good-customer,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,MIC,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,Marketing_Campaign,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,QSAR-TID-11,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,QSAR_fish_toxicity,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,airfoil_self_noise,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined,bank-marketing,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_combined,bike_sharing,real_shift,1,1,0,0,False,True,False
bag8,joint_freq_combined,blood-transfusion-service-center,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,brfss_diabetes,real_shift,1,1,0,0,False,True,False
bag8,joint_freq_combined,churn,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined,coil2000_insurance_policies,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_combined,concrete_compressive_strength,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,credit-g,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,credit_card_clients_default,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,diabetes,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,diabetes_hospital,real_shift,1,0,0,1,False,False,False
bag8,joint_freq_combined,diamonds,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,folktables_coverage,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined,folktables_coverage_covid,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined,folktables_employment,Folktables,1,0,0,1,False,False,False
bag8,joint_freq_combined,folktables_income,Folktables,1,0,0,1,False,False,False
bag8,joint_freq_combined,folktables_mobility,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined,folktables_travel_time,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined,folktables_travel_time_covid,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined,gas_sensor_drift,real_shift,1,0,1,0,False,True,False
bag8,joint_freq_combined,hazelnut-spread-contaminant-detection,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,healthcare_insurance_expenses,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,heloc,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,hiva_agnostic,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined,houses,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,in_vehicle_coupon_recommendation,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,jm1,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,kddcup09_appetency,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,lending_club,real_shift,1,1,0,0,False,True,False
bag8,joint_freq_combined,maternal_health_risk,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,miami_housing,TabArena_IID,3,0,2,1,False,False,False
bag8,joint_freq_combined,online_shoppers_intention,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,physiochemical_protein,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,polish_companies_bankruptcy,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,qsar-biodeg,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined,seismic-bumps,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,shifts_weather,real_shift,1,0,1,0,False,True,False
