model,dataset,method_key,method_role,family,dataset_family,task_type,n_folds,single_fold,n_train,n_test,n_features,n_cat,n_num,cat_frac,domain_auc,mean_ks,shift_bin,source_id,source_dataset,err_base_mean,err_method_mean,abs_delta_mean,near_perfect_base,relative_mask_reason,primary_effect_unmasked_pct,primary_effect_pct,sensitivity_effect_unmasked_pct,sensitivity_effect_pct
bag8,APSFailure,groupby_train_only,train_only_version,baselines,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0076288484183115,0.0001665507725923,True,near_perfect_baseline,2.1365265397401125,,0.6410970167282626,
bag8,APSFailure,inductive_baseline,inductive_reference,reference,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077953991909039,0.0,True,near_perfect_baseline,0.0,,0.0,
bag8,APSFailure,joint_freq_combined,test_time_variant,M1_joint_freq,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077953991909039,0.0,True,near_perfect_baseline,0.0,,0.0,
bag8,APSFailure,joint_freq_combined__sel_combined_intersection,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079898989131166,-0.0001944997222127,True,near_perfect_baseline,-2.495057885421702,,-2.537956374277425,
bag8,APSFailure,joint_freq_combined__sel_combined_union,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0078615815677474,-6.618237684356358e-05,True,near_perfect_baseline,-0.8489927869350028,,-0.7682346908541916,
bag8,APSFailure,joint_freq_separate,test_time_variant,M1_joint_freq,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077953991909039,0.0,True,near_perfect_baseline,0.0,,0.0,
bag8,APSFailure,joint_freq_separate__sel_combined_intersection,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079898989131166,-0.0001944997222127,True,near_perfect_baseline,-2.495057885421702,,-2.537956374277425,
bag8,APSFailure,joint_freq_separate__sel_combined_union,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0078615815677474,-6.618237684356358e-05,True,near_perfect_baseline,-0.8489927869350028,,-0.7682346908541916,
bag8,APSFailure,joint_groupby_combined,test_time_variant,M14_groupby,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.007425056389698,0.0003703428012059,True,near_perfect_baseline,4.750786869748214,,3.4650155289965543,
bag8,APSFailure,joint_groupby_combined__sel_combined_intersection,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079898989131166,-0.0001944997222127,True,near_perfect_baseline,-2.495057885421702,,-2.537956374277425,
