model,pair_label,pair_quality,joint_key,train_only_key,estimand,execution_n_datasets,near_perfect_datasets_masked,n_fold_cells,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
bag8,pca_var95,same_hyperparameters,joint_pca_var95,pca_train_only_var95,direct_test_time_premium_pct,92,6,194,86,-0.1660959364402119,-0.032733290665838966,-0.11798778098691347,0.0032408866939767967,0.9601463714394649,-1.2311596426816258,0.898967769801202,34,3,49,0.40963855421686746,0.3028470377729893,0.5230723651221287,0.6213662764810416,0.3786337235189584,0.9607901875920962,0.06192652973090074,-2.199068947728131,1.4510369134562473,-17.477904634165625,30.66059339004188,True,0.9712800742388834,1.0,0.680242285884575,1.0,0.9762375553717341,1.0,0.2064217657696691,0.5573387675781066,False,False,False,False,False
bag8,pca_var95,same_hyperparameters,joint_pca_var95,pca_train_only_var95,additive_test_time_premium_pct,92,6,194,86,0.005464570180662123,-0.03277357796282031,-0.11777415698494748,0.0032394457950299825,0.9601463714394649,-1.2619179064571104,1.2728470468184347,34,3,49,0.40963855421686746,0.3028470377729893,0.5230723651221287,0.49659002975917066,0.5034099702408293,0.9607901875920962,0.06192652973090074,-2.2834861839407425,1.4805134562071995,-18.511336617994438,41.710309877659896,True,0.8276500495986178,1.0,0.8336512440503527,1.0,0.9762375553717341,1.0,0.2064217657696691,0.5573387675781066,False,False,False,False,False
bag8,scaling_train_only,closer_pair_but_cat_encoding_also_differs,joint_scaling,train_only_scaling,direct_test_time_premium_pct,92,6,194,86,0.1968319057403665,0.0,-0.013941339532117592,0.0,0.9601463714394649,-0.02989714182858,0.423560953309313,30,19,37,0.44776119402985076,0.3260421370471229,0.5742477741881826,0.043982337420430576,0.9560176625795694,0.8357839686514051,0.23190880894843469,-0.2495800503158106,0.5707130951911206,-1.2050050154227763,8.239362308136199,True,0.43982337420430573,0.43982337420430573,0.9560176625795694,1.0,0.9762375553717341,1.0,0.4253416180676954,1.0,False,False,False,False,False
bag8,scaling_train_only,closer_pair_but_cat_encoding_also_differs,joint_scaling,train_only_scaling,additive_test_time_premium_pct,92,6,194,86,0.20634475436749292,0.0,-0.013944145239202663,0.0,0.9601463714394649,-0.03253053721034671,0.44522004594533254,30,19,37,0.44776119402985076,0.3260421370471229,0.5742477741881826,0.04476449365963661,0.9552355063403634,0.8357839686514051,0.23190880894843469,-0.248886118652685,0.568408993061142,-1.1958470729023893,8.816612763345796,True,0.4476449365963661,0.4476449365963661,0.9552355063403632,1.0,0.9762375553717341,1.0,0.4253416180676954,1.0,False,False,False,False,False
bag8,target_sensitivity_m10,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m10,direct_test_time_premium_pct,92,6,194,86,-0.06130835382116739,0.0,0.0,0.0,0.9601463714394649,-0.16693342477246237,0.0443167171301276,14,53,19,0.42424242424242425,0.25476182273469583,0.6078469838121148,0.8741444951612085,0.12585550483879154,0.8518968157004565,0.24342512083239853,-0.3769205843530726,0.03062406595309526,-2.7196601346198066,2.3783802908025367,True,0.9712800742388834,1.0,0.41951834946263844,1.0,0.9762375553717341,1.0,0.4253416180676954,1.0,False,False,False,False,False
bag8,target_sensitivity_m10,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m10,additive_test_time_premium_pct,92,6,194,86,-0.050362273624139205,0.0,0.0,0.0,0.9601463714394649,-0.1608046330692287,0.060080085820950306,14,53,19,0.42424242424242425,0.25476182273469583,0.6078469838121148,0.8164251926043029,0.1835748073956971,0.8518968157004565,0.24342512083239853,-0.3763069743478963,0.030581818759298912,-2.6639009095891946,2.797753967269817,True,0.9684890089361599,1.0,0.45893701848924273,1.0,0.9762375553717341,1.0,0.4253416180676954,1.0,False,False,False,False,False
bag8,target_sensitivity_m20,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m20,direct_test_time_premium_pct,92,6,194,86,0.005267469007687991,0.0,0.0,0.0,0.9601463714394649,-0.13725061346009948,0.14778555147547545,15,52,19,0.4411764705882353,0.27185019641486696,0.6211423560429286,0.4707958648471851,0.529204135152815,0.804235847434029,0.30379568063654006,-0.3332146319053965,0.11818223556631449,-1.6297421579653883,5.336979639890611,True,0.9712800742388834,1.0,0.7560059073611642,1.0,0.9762375553717341,1.0,0.43399382948077153,1.0,False,False,False,False,False
bag8,target_sensitivity_m20,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m20,additive_test_time_premium_pct,92,6,194,86,0.016887102393327837,0.0,0.0,0.0,0.9601463714394649,-0.14879956752599402,0.18257377231264968,15,52,19,0.4411764705882353,0.27185019641486696,0.6211423560429286,0.4199471981912672,0.5800528018087328,0.804235847434029,0.30379568063654006,-0.33793692217740645,0.1177576972405735,-1.6134484004321752,6.474249335581852,True,0.8276500495986178,1.0,0.8336512440503527,1.0,0.9762375553717341,1.0,0.43399382948077153,1.0,False,False,False,False,False
bag8,target_sensitivity_m5,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m5,direct_test_time_premium_pct,92,6,194,86,-0.022571027162906564,0.0,0.0,0.0,0.9601463714394649,-0.2151443298696105,0.17000227554379735,18,52,16,0.5294117647058824,0.351292837051412,0.7022133335818036,0.591854628469255,0.40814537153074504,0.4320831202203408,0.69620431936346,-0.477505983760661,0.2597063551010078,-4.939777237581358,4.500379799727733,True,0.9712800742388834,1.0,0.680242285884575,1.0,0.9762375553717341,1.0,0.7735603548482888,1.0,False,False,False,False,False
bag8,target_sensitivity_m5,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m5,additive_test_time_premium_pct,92,6,194,86,0.047630912712167815,0.0,0.0,0.0,0.9601463714394649,-0.22874262226079503,0.32400444768513065,18,52,16,0.5294117647058824,0.351292837051412,0.7022133335818036,0.3663489266285315,0.6336510733714684,0.4320831202203408,0.69620431936346,-0.46235625209141223,0.2605368452756459,-4.688180227996276,9.586511573085927,True,0.8276500495986178,1.0,0.8336512440503527,1.0,0.9762375553717341,1.0,0.7735603548482888,1.0,False,False,False,False,False
tabicl,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,direct_test_time_premium_pct,55,6,131,49,-0.12191344360645386,0.0,-1.992717136806153e-05,9.33281697351451e-06,0.9556158390128502,-0.4862711169462825,0.24244422973337482,21,7,21,0.5,0.3419475770509645,0.6580524229490354,0.7478353498830095,0.2521646501169905,0.5611928356238423,0.5611928356238423,-0.2664699781814112,0.22326268011925957,-7.904250917403283,3.0628782267265913,True,0.7478353498830095,1.0,0.8623244983038278,1.0,0.76793371276128,1.0,0.8017040508912032,1.0,False,False,False,False,False
tabicl,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,additive_test_time_premium_pct,55,6,131,49,-0.1461512062504012,0.0,-1.9927167397140736e-05,9.406120025723665e-06,0.9556158390128502,-0.5452787087571653,0.252976296256363,21,7,21,0.5,0.3419475770509645,0.6580524229490354,0.7674184766335892,0.23258152336641086,0.5611928356238423,0.5611928356238423,-0.26935222163758976,0.2233534591649065,-8.892801465217547,2.8559762083626263,True,0.7674184766335892,1.0,0.8623273348178075,1.0,0.76793371276128,1.0,0.8017040508912032,1.0,False,False,False,False,False
tabicl,groupby,same_hyperparameters,joint_groupby_combined,groupby_train_only,direct_test_time_premium_pct,49,6,123,43,-0.05534546954586648,0.0,-0.0479211627989164,0.06820438903939618,0.9684605026468489,-0.283693014749004,0.17300207565727102,20,2,21,0.4878048780487805,0.32877903577127376,0.6486576061825842,0.6863528677311466,0.31364713226885343,0.6223856712476845,0.5,-0.517696742530519,0.4212882347998292,-3.48970222281182,1.3679727779132436,True,0.7478353498830095,1.0,0.8623244983038278,1.0,0.76793371276128,1.0,0.8017040508912032,1.0,False,False,False,False,False
tabicl,groupby,same_hyperparameters,joint_groupby_combined,groupby_train_only,additive_test_time_premium_pct,49,6,123,43,-0.05245932201538305,0.0,-0.047962430612822196,0.06828978047936611,0.9684605026468489,-0.29834851596848305,0.19342987193771696,20,2,21,0.4878048780487805,0.32877903577127376,0.6486576061825842,0.6655008840177025,0.33449911598229753,0.6223856712476845,0.5,-0.5290696869713394,0.46373832839818674,-3.6359504603829325,1.6931046121734017,True,0.7394454266863361,1.0,0.8623273348178075,1.0,0.76793371276128,1.0,0.8017040508912032,1.0,False,False,False,False,False
tabicl,pca_10,same_hyperparameters,joint_pca_10,pca_train_only_10,direct_test_time_premium_pct,55,6,131,49,-0.13723131742574513,-0.05240462956172022,-0.13107470933551923,0.03797109900447064,0.9556158390128502,-1.174161375549173,0.8996987406976829,21,0,28,0.42857142857142855,0.2881952242478096,0.5778959479640873,0.6043471857142583,0.3956528142857418,0.8735651349161984,0.19580145527374526,-1.0338795589971541,0.8246931391217253,-20.525323295227224,12.607416575697055,True,0.7478353498830095,1.0,0.8623244983038278,1.0,0.8735651349161984,1.0,0.8017040508912032,1.0,False,False,False,False,False
tabicl,pca_10,same_hyperparameters,joint_pca_10,pca_train_only_10,additive_test_time_premium_pct,55,6,131,49,-0.08499996108566206,-0.052600206541512144,-0.13312603627846398,0.03847452872607318,0.9556158390128502,-1.0856772873549503,0.9156773651836262,21,0,28,0.42857142857142855,0.2881952242478096,0.5778959479640873,0.5674458943040981,0.4325541056959019,0.8735651349161984,0.19580145527374526,-1.0036543273253395,0.8343908903831319,-19.03662384994899,13.077519971991464,True,0.7327251307280219,1.0,0.8623273348178075,1.0,0.8735651349161984,1.0,0.8017040508912032,1.0,False,False,False,False,False
