model,pair_label,pair_quality,joint_key,train_only_key,dataset,err_joint,err_train_only,err_inductive,near_perfect_base,n_common_folds,total_vs_inductive_pct,train_only_vs_inductive_pct,additive_test_time_premium_pct,direct_test_time_premium_pct,absolute_joint_minus_train_only_improvement,absolute_total_improvement,dataset_family,domain_auc,mean_ks,shift_bin,source_id,source_dataset
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,folktables_employment,0.0923541735252619,0.0923541738068212,0.0923388145690792,False,1,-0.016633261163652296,-0.01663356608342516,3.049197728645067e-07,3.0486906226756647e-07,2.815593036498143e-10,-1.535895618269556e-05,Folktables,0.5412264,0.0268211334088744,DAUC < 0.55,source::folktables,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,folktables_income,0.1121486128217443,0.1119700407103991,0.1120155290170952,False,1,-0.11880835257118044,0.04060892904337137,-0.15941728161455182,-0.15948204556527235,-0.00017857211134521267,-0.0001330838046491034,Folktables,0.6541794249999999,0.0202054476966708,0.55 <= DAUC < 0.75,source::folktables,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,folktables_mobility,0.2596959296566929,0.2601213172456705,0.2597460318536995,False,1,0.01928891719693097,-0.1444816651452799,0.16377058234221087,0.16353430525489485,0.0004253875889775882,5.0102197006574034e-05,Folktables,0.5783444999999999,0.0427119057499453,0.55 <= DAUC < 0.75,source::folktables,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,folktables_travel_time,0.2079587031630407,0.2081077108238339,0.2080129492789471,False,1,0.02607823988575773,-0.045555598925586645,0.07163383881134437,0.07160122044653193,0.0001490076607932045,5.424611590640338e-05,Folktables,0.657996475,0.0224917765156315,0.55 <= DAUC < 0.75,source::folktables,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,folktables_travel_time_covid,0.2031677016261408,0.2052855818853414,0.2035722517222109,False,1,0.19872555942552414,-0.8416324664269359,1.04035802585246,1.031675113152125,0.002117880259200594,0.00040455009607009984,Folktables,0.788992325,0.0142218987079578,0.75 <= DAUC < 0.95,source::folktables,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,gas_sensor_drift,0.1243783594646005,0.1243783594646005,0.1243783594646005,False,1,0.0,0.0,0.0,0.0,0.0,0.0,real_shift,0.9997012367140782,0.2156844866039522,DAUC >= 0.95,source::gas_sensor_drift,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,hazelnut-spread-contaminant-detection,0.0295020833333333,0.0295020833333333,0.0295020833333333,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.5092881944444444,0.0430034722222222,DAUC < 0.55,source::hazelnut-spread-contaminant-detection,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,healthcare_insurance_expenses,4604.9174571296235,4618.289252248423,4620.357678458792,False,3,0.33417805294933545,0.04476766420082747,0.28941038874850794,0.2895400090474854,13.371795118799128,15.440221329168708,TabArena_IID,0.5250682484635931,0.0656832659134235,DAUC < 0.55,source::healthcare_insurance_expenses,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,heloc,0.20568240256918216,0.20568240256918216,0.20568240256918216,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.5007809088419239,0.0177986239441687,DAUC < 0.55,source::heloc,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,hiva_agnostic,0.5004700797707179,0.5003795291028522,0.5036540337357714,False,3,0.6321708458159456,0.6501495895170591,-0.01797874370111353,-0.01809639735422943,-9.055066786567423e-05,0.003183953965053554,TabArena_IID,0.496315651907474,0.0,DAUC < 0.55,source::hiva_agnostic,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,houses,0.2171784423060367,0.2171784423060367,0.2171784423060367,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.4876979973585736,0.0143910489341085,DAUC < 0.55,source::houses,
