model,method_key,method_role,n_datasets_ranked,model_roster_datasets,coverage_pct,mean_normalized_rank,median_normalized_rank,mean_raw_rank,rank_points_sum_observed,tied_best_datasets,unique_best_datasets,rank_status,mean_lift_pct,median_lift_pct,win_rate_decided,reliable_positive_strict
bag8,targeted_groupby_top5_shifted_agg,test_time_variant,92,92,100.0,0.4459421810562431,0.4429074575059977,63.59239130434783,5850.5,0,0,descriptive_coverage_normalized,-1.0790838687475561,-0.05579975047144675,0.2753623188405797,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,92,92,100.0,0.44703215547369185,0.47314814814814815,63.71195652173913,5861.5,0,0,descriptive_coverage_normalized,-0.4349332189363825,-0.05463423571397815,0.36363636363636365,False
bag8,cluster_membership_k10_weight,test_time_variant,92,92,100.0,0.4476680431946111,0.45833333333333337,63.71739130434783,5862.0,0,0,descriptive_coverage_normalized,-0.7537622696249597,-0.0447219193184581,0.4069767441860465,False
bag8,cluster_membership_k5_feature,test_time_variant,92,92,100.0,0.4492914959368612,0.4791666666666667,64.08695652173913,5896.0,0,0,descriptive_coverage_normalized,-0.578400790061347,-0.10462677342558675,0.37209302325581395,False
bag8,pca_train_only_5,train_only_version,92,92,100.0,0.45387841814295177,0.5259259259259259,64.42934782608695,5927.5,1,0,descriptive_coverage_normalized,-0.6027467062374601,-0.11001757660179201,0.3855421686746988,False
bag8,cluster_membership_k10_feature,test_time_variant,92,92,100.0,0.4613634461570732,0.4912341179946814,65.7663043478261,6050.5,0,0,descriptive_coverage_normalized,-0.6044286475331766,-0.0866343535767544,0.36046511627906974,False
bag8,cluster_membership_k10_feature_cumshift,test_time_variant,92,92,100.0,0.4615490863858918,0.4695538057742782,65.59239130434783,6034.5,0,0,descriptive_coverage_normalized,-0.6358468686298927,-0.10248484432012811,0.3953488372093023,False
bag8,pseudo_label_v2_cal_platt_wprop_conf90,test_time_variant,65,92,70.65217391304348,0.4634855542522997,0.4236111111111111,66.86153846153846,4346.0,0,0,descriptive_coverage_normalized,-3.997769154160791,0.0,0.39473684210526316,False
bag8,pca_train_only_var95,train_only_version,92,92,100.0,0.47287664049408634,0.534965034965035,66.8586956521739,6151.0,2,1,descriptive_coverage_normalized,-1.4299014153148244,-0.1644314988648429,0.39759036144578314,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,test_time_variant,92,92,100.0,0.4741868049531228,0.45185185185185184,67.03260869565217,6167.0,0,0,descriptive_coverage_normalized,-57.732114396722,-0.08623103439067564,0.3488372093023256,False
bag8,joint_tsne_3d_p30,test_time_variant,80,92,86.95652173913044,0.478129965831586,0.5696759259259259,68.475,5478.0,1,1,descriptive_coverage_normalized,-2.3427025849005156,-0.16836774762448176,0.3783783783783784,False
bag8,joint_pca_10,test_time_variant,92,92,100.0,0.4812561354398769,0.521412037037037,68.25,6279.0,3,2,descriptive_coverage_normalized,-0.9465881065746106,-0.18364162572608475,0.3493975903614458,False
bag8,adversarial_reweight_lgbm_ratio_winsorize,test_time_variant,92,92,100.0,0.48390285527168214,0.49822695035460995,68.46195652173913,6298.5,1,1,descriptive_coverage_normalized,-0.6123587935909536,-0.14904316793698008,0.32941176470588235,False
bag8,ot_disp_v2_summary_only,test_time_variant,92,92,100.0,0.4840769952973246,0.5053240740740741,68.66304347826087,6317.0,0,0,descriptive_coverage_normalized,-1.1481557638117026,-0.1148355515475066,0.25316455696202533,False
bag8,pseudo_label_v2_cal_iso_wquad_conf90,test_time_variant,65,92,70.65217391304348,0.48981074689636367,0.48905109489051096,70.64615384615385,4592.0,0,0,descriptive_coverage_normalized,-9.331917367909812,-0.0537399129639973,0.4406779661016949,False
bag8,pca_train_only_var90,train_only_version,92,92,100.0,0.4898959769260383,0.5369048916003922,69.19021739130434,6365.5,1,0,descriptive_coverage_normalized,-1.5676384140295427,-0.1541628616223786,0.3614457831325301,False
bag8,adversarial_logreg_feature,test_time_variant,92,92,100.0,0.49118858160513584,0.5302178318135765,70.0,6440.0,0,0,descriptive_coverage_normalized,-1.364905799411266,-0.168206211284503,0.26744186046511625,False
bag8,adversarial_reweight_lgbm_ratio_hard,test_time_variant,92,92,100.0,0.49297970933541774,0.5052083333333333,69.95108695652173,6435.5,0,0,descriptive_coverage_normalized,-0.5078502066645271,-0.06489579563473766,0.32894736842105265,False
bag8,joint_pca_var95,test_time_variant,92,92,100.0,0.493454239888799,0.5295138888888888,69.7554347826087,6417.5,2,1,descriptive_coverage_normalized,-1.4244368451341622,-0.23603793829925773,0.3373493975903614,False
