model,family,aggregation,n_variants,execution_n_datasets,near_perfect_datasets_masked,selection_rule,estimator,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive,strict_reliability_criteria_applicable,result_scope
tabicl,M6_adversarial,middle_variant_median,7,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-1.2256017943578694,-0.2522154646450987,-0.5947280122627331,-0.0981365865105081,0.9556158390128502,-2.288363171895701,-0.1628404168200377,15,0,34,0.30612244897959184,0.18251944764587352,0.4541524365052456,0.9876424380624099,0.012357561937590142,0.9980991727951256,0.004699620761936529,-2.8835847836999036,0.4693399626935776,-17.27393740294585,5.727780647803932,True,0.9999999999975951,1.0,0.01647674925012019,0.06178780968795071,0.9999999999999982,1.0,0.005784148630075729,0.018798483047746117,False,True,False,True,False,False,secondary_descriptive_family_composite
tabicl,M20_cluster_membership,middle_variant_median,8,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-1.3378423844787195,-0.7573824384752113,-1.7877799480319512,-0.2777179420947339,0.9556158390128502,-2.0816795751162753,-0.5940051938411637,11,0,38,0.22448979591836735,0.11774342055419094,0.3662430188592764,0.9996420914807747,0.00035790851922535785,0.9999807704415282,7.098534259952771e-05,-4.924604410700394,0.8544336419912573,-8.130000572616744,5.623306820924462,True,0.9999999999975951,1.0,0.0009544227179342876,0.003936993711478936,0.9999999999999982,1.0,0.00011357654815924434,0.000496897398196694,False,True,False,True,False,False,secondary_descriptive_family_composite
tabicl,M4_target_encoding,middle_variant_median,10,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-1.4141348044787683,-0.0704310692642702,-0.37761692525839785,-5.248302315445912e-06,0.9556158390128502,-2.2964674719369467,-0.5318021370205898,12,4,33,0.26666666666666666,0.1460407158381299,0.4194467047420176,0.9988573006320506,0.0011426993679494442,0.9995879588202001,0.001229450161048362,-4.407793527594493,0.08385542873070569,-12.784730777197641,2.140506875471491,True,0.9999999999975951,1.0,0.0022853987358988884,0.010284294311544998,0.9999999999999982,1.0,0.001639266881397816,0.00614725080524181,False,True,False,True,False,False,secondary_descriptive_family_composite
tabicl,M3_joint_pca,middle_variant_median,4,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-1.5877508761680306,-0.6866090184511383,-1.350579965597944,-0.3339882501876833,0.9556158390128502,-2.443874716512103,-0.7316270358239579,10,0,39,0.20408163265306123,0.1024493854952479,0.3434299930464819,0.9997461322516893,0.00025386774831076797,0.999995368226795,1.922955847177832e-05,-3.979967184173691,0.22828595155041928,-17.355794913166292,2.529802618837808,True,0.9999999999975951,1.0,0.0008123767945944575,0.0030464129797292154,0.9999999999999982,1.0,3.41858817276059e-05,0.00017306602624600487,False,True,False,True,False,False,secondary_descriptive_family_composite
tabicl,M14_groupby,middle_variant_median,11,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-1.9392474753929054,-0.5146341906531485,-1.3887418562639435,-0.08596160345363502,0.9556158390128502,-2.9360823523429627,-0.9424125984428484,12,1,36,0.25,0.13637227742060046,0.395959310027118,0.9998559551258792,0.00014404487412074925,0.9998888775186892,0.00035863483669729146,-5.155021356028356,0.2738091281970264,-13.786078862649035,2.629908211468726,True,0.9999999999975951,1.0,0.000576179496482997,0.0018725833635697402,0.9999999999999982,1.0,0.0005216506715596967,0.002151809020183749,False,True,False,True,False,False,secondary_descriptive_family_composite
tabicl,M18_leaf_density,middle_variant_median,8,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-2.3624488561237658,-0.9125511309046355,-1.344706741379214,-0.4625651488447074,0.9556158390128502,-4.244664964053391,-0.4802327481941402,7,0,42,0.14285714285714285,0.05942150569031297,0.2724215126955974,0.9925103637352926,0.007489636264707468,0.9999999713611736,1.8122891631833227e-07,-4.615574489493866,0.5551927988341305,-41.78464843986542,4.6084270412018915,True,0.9999999999975951,1.0,0.010894016385029045,0.044937817588244805,0.9999999999999982,1.0,5.799325322186633e-07,2.174746995819987e-06,False,True,False,True,False,False,secondary_descriptive_family_composite
tabicl,M3b_joint_tsne,middle_variant_median,3,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-2.534567213390033,-1.0767339632134152,-1.625221026644402,-0.5864728702676354,0.9556158390128502,-4.195666899194154,-0.8734675275859127,10,0,39,0.20408163265306123,0.1024493854952479,0.3434299930464819,0.9982308951871852,0.0017691048128147715,0.999995368226795,1.922955847177832e-05,-5.588146205218643,0.8716873640634972,-36.30149645894706,3.627197066396404,True,0.9999999999975951,1.0,0.003145075222781816,0.014152838502518172,0.9999999999999982,1.0,3.41858817276059e-05,0.00017306602624600487,False,True,False,True,False,False,secondary_descriptive_family_composite
tabicl,M8_label_prop,middle_variant_median,11,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-6.586087928278989,-2.4343049888505948,-4.327847905921454,-1.185875114305878,0.9556158390128502,-9.94749750814718,-3.224678348410798,6,0,43,0.12244897959183673,0.04628903108189576,0.24769296835968285,0.9998680701911361,0.0001319298088638885,0.9999999962014208,2.8638826421456542e-08,-19.049700949316925,0.0902786667461383,-66.0941660213058,13.708362843118044,True,0.9999999999975951,1.0,0.000576179496482997,0.001847017324094439,0.9999999999999982,1.0,1.1455530568582617e-07,3.7230474347893505e-07,False,True,False,True,False,False,secondary_descriptive_family_composite
tabicl,M16_nearest_test_dist,middle_variant_median,7,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-8.344059575286167,-1.4132626813083846,-4.408309204111832,-0.8037664015812074,0.9556158390128502,-14.099994817838201,-2.5881243327341323,5,0,44,0.10204081632653061,0.03397170498395576,0.22227669628262675,0.9973026590843146,0.0026973409156853968,0.9999999995887272,3.79857922894189e-09,-16.35547448314204,0.03593739815978224,-107.36188466227368,11.832832644423087,True,0.9999999999975951,1.0,0.004315745465096635,0.01888138640979778,0.9999999999999982,1.0,3.038863383153512e-08,5.6978688434128344e-08,False,True,False,True,False,False,secondary_descriptive_family_composite
tabicl,M19_neighbor_consensus,middle_variant_median,6,55,6,median_across_available_family_variants_per_dataset,masked_lift_pct_from_means,49,-10.988778032976864,-5.24740521513136,-8.712693666665995,-2.786158278030971,0.9556158390128502,-17.208822391412685,-4.768733674541042,8,0,41,0.16326530612244897,0.07322275990798828,0.296571357999703,0.9995657155914508,0.0004342844085492061,0.9999998187710837,9.823268882769298e-07,-23.222424740250613,0.5102352044919819,-134.3580606193396,22.431885861593592,True,0.9999999999975951,1.0,0.0009926500766838996,0.004342844085492061,0.9999999999999982,1.0,2.6195383687384797e-06,1.0805595771046228e-05,False,True,False,True,False,False,secondary_descriptive_family_composite
