model,method_key,method_role,family,n_datasets,spearman_rho,spearman_p,n_low_dauc,n_high_dauc,low_mean_lift_pct,high_mean_lift_pct,high_minus_low_mean_lift_pct,spearman_p_bh,spearman_p_holm,positive_shift_trend_fdr,negative_shift_trend_fdr
bag8,label_prop_k10_a05,test_time_variant,M8_label_prop,86,-0.03897626884833187,0.7216178879843573,51,23,-2.8785010445764314,-4.122786280460682,-1.2442852358842504,0.8702927512037953,1.0,False,False
bag8,label_prop_k15_a05,test_time_variant,M8_label_prop,86,0.005732637555351938,0.9582220952818389,51,23,-2.9097800519512838,-4.264920889635165,-1.355140837683881,0.98543503949856,1.0,False,False
bag8,label_prop_k15_a08,test_time_variant,M8_label_prop,86,0.031024241135636104,0.7767436018103308,51,23,-2.9293395338661545,-4.479029371859039,-1.5496898379928847,0.8865766993591108,1.0,False,False
bag8,label_prop_v3_adaptive,test_time_variant,M8_label_prop,86,0.03028759248766666,0.7819113945736602,51,23,-4.028130277232581,-1.37829519715486,2.649835080077721,0.8865766993591108,1.0,False,False
bag8,label_prop_v3_t005_k10,test_time_variant,M8_label_prop,86,0.05208483709681373,0.6338817354094253,51,23,-3.7653907006103524,-3.1415820833820836,0.6238086172282689,0.8198512112084703,1.0,False,False
bag8,label_prop_v3_t005_k15,test_time_variant,M8_label_prop,86,-0.024526622292008207,0.8226359594068047,51,23,-3.230724348323981,-3.8563137029446746,-0.6255893546206934,0.9112275242659991,1.0,False,False
bag8,label_prop_v3_t01_k15,test_time_variant,M8_label_prop,86,0.03844739289594355,0.7252439593364961,51,23,-3.247854842889724,-5.56912711160153,-2.3212722687118057,0.8702927512037953,1.0,False,False
bag8,label_prop_weighted_adaptive_a05,test_time_variant,M8_label_prop,86,-0.03147756338054038,0.7735682218749971,51,23,-3.1076564781219664,-6.146378005822624,-3.038721527700657,0.8865766993591108,1.0,False,False
bag8,label_prop_weighted_k10_a05,test_time_variant,M8_label_prop,86,-0.06965107408685427,0.5239683024684502,51,23,-4.243239038066431,-6.36419803419509,-2.1209589961286595,0.7628245797911795,1.0,False,False
bag8,label_prop_weighted_k15_a05,test_time_variant,M8_label_prop,86,-0.0970581814766917,0.37399716398603,51,23,-4.354448658190082,-6.812290274282566,-2.4578416160924847,0.6648838470862756,1.0,False,False
bag8,label_prop_weighted_k15_a08,test_time_variant,M8_label_prop,86,-0.11012897287143154,0.3127713981145665,51,23,-3.7362053763516734,-5.4326401063501555,-1.696434729998482,0.5983329973490829,1.0,False,False
bag8,leaf_density_conf,test_time_variant,M18_leaf_density,86,0.3845211500266131,0.00025686532116147545,51,23,-3.0411699146640685,-0.865370907975069,2.1757990066889996,0.005221543062585789,0.035447414320283616,True,False
bag8,leaf_density_conf_cumshift,test_time_variant,M18_leaf_density,85,0.3088527660960422,0.004027640855103266,50,23,-3.0913043882405264,-0.8452911255631056,2.2460132626774207,0.027618108720708107,0.49942746603280497,True,False
bag8,leaf_density_conf_deep,test_time_variant,M18_leaf_density,85,0.37949743185728935,0.0003410125897782168,50,23,-3.623342678171893,-1.5339789490704914,2.0893637291014016,0.005258232651655575,0.04637771220983748,True,False
bag8,leaf_density_conf_shallow,test_time_variant,M18_leaf_density,86,0.37564358939723774,0.00036515504525385934,51,23,-2.922302325364713,-0.300008125172434,2.622294200192279,0.005258232651655575,0.04929593110927101,True,False
bag8,leaf_density_embed_k10,test_time_variant,M18_leaf_density,67,0.350287929444266,0.003661406470150801,46,15,-3.970073029141236,-0.5579920854481384,3.4120809436930974,0.026362126585085764,0.4576758087688501,True,False
bag8,leaf_density_embed_k10_cumshift,test_time_variant,M18_leaf_density,71,0.31688502137576413,0.007091944133749409,48,17,-4.209667737191566,-0.4832452812560285,3.7264224559355377,0.03620389955131602,0.8368494077824303,True,False
bag8,leaf_density_embed_k20,test_time_variant,M18_leaf_density,70,0.3251656995755307,0.0060213837012869625,47,18,-5.603201230864138,-1.041517043460034,4.561684187404104,0.03612830220772178,0.7285874278557225,True,False
bag8,leaf_density_embed_k5,test_time_variant,M18_leaf_density,70,0.3129005853550936,0.008355454713430664,47,18,-3.3502315170827375,-0.2798770619363473,3.07035445514639,0.037599546210437984,0.944166382617665,True,False
bag8,nearest_test_k10_both,test_time_variant,M16_nearest_test_dist,86,0.31559728037429274,0.0030769501592605264,51,23,-5.364126817973732,-4.750052607861771,0.6140742101119612,0.02461560127408421,0.39077267022608686,True,False
bag8,nearest_test_k10_cumshift_both,test_time_variant,M16_nearest_test_dist,86,0.27479827833290826,0.010449681301360734,51,23,-5.360171966568573,-3.0538876718096257,2.3062842947589473,0.04425747374693958,1.0,True,False
