model,dataset,method_key,method_role,family,dataset_family,task_type,n_folds,single_fold,n_train,n_test,n_features,n_cat,n_num,cat_frac,domain_auc,mean_ks,shift_bin,source_id,source_dataset,err_base_mean,err_method_mean,abs_delta_mean,near_perfect_base,relative_mask_reason,primary_effect_unmasked_pct,primary_effect_pct,sensitivity_effect_unmasked_pct,sensitivity_effect_pct,gap_window_order
bag8,tabred_delivery_eta__gap_maxdiff,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,1.0,0.2496496029927623,DAUC >= 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5533970341678441,0.5535264018859795,-0.0001293677181353,False,included_if_finite,-0.0233770168880383,-0.0233770168880383,-0.0233770168880383,-0.0233770168880383,3
bag8,tabred_homesite__gap_near,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,TabReD_gap,classification,1,True,8000,5000,299,16,283,0.0535117056856187,1.0,0.0437974647176086,DAUC >= 0.95,source::tabred_homesite,tabred_homesite,0.0459653482601032,0.0458481734425988,0.0001171748175043,False,included_if_finite,0.2549198949637894,0.2549198949637894,0.2549198949637894,0.2549198949637894,1
bag8,tabred_homesite__gap_far,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,TabReD_gap,classification,1,True,8000,5000,299,16,283,0.0535117056856187,1.0,0.0830990647492541,DAUC >= 0.95,source::tabred_homesite,tabred_homesite,0.1040477118497644,0.1070690319705521,-0.0030213201207877,False,included_if_finite,-2.9037833385036103,-2.9037833385036103,-2.9037833385036103,-2.9037833385036103,2
bag8,tabred_sberbank__gap_near,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,6282,2323,392,10,382,0.0255102040816326,1.0,0.2265311490062835,DAUC >= 0.95,source::tabred_sberbank,tabred_sberbank,0.2477962699761038,0.2471721876395515,0.0006240823365522,False,included_if_finite,0.2518529986801122,0.2518529986801122,0.2518529986801122,0.2518529986801122,1
bag8,tabred_sberbank__gap_far,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,6282,2323,392,10,382,0.0255102040816326,1.0,0.235749592588427,DAUC >= 0.95,source::tabred_sberbank,tabred_sberbank,0.3592567871384393,0.3613478165493127,-0.0020910294108734,False,included_if_finite,-0.5820431194992668,-0.5820431194992668,-0.5820431194992668,-0.5820431194992668,2
bag8,tabred_weather__gap_near,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.0948655339805825,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.6630001348379588,1.6654222690671605,-0.0024221342292016,False,included_if_finite,-0.1456484685996545,-0.1456484685996545,-0.1456484685996545,-0.1456484685996545,1
bag8,tabred_weather__gap_far,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.1012016963019497,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.6422974554212553,1.6398318598780988,0.0024655955431565,False,included_if_finite,0.150130875196666,0.150130875196666,0.150130875196666,0.150130875196666,2
bag8,tabred_weather__gap_maxdiff,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.2280292319342118,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.7941261827455273,1.7906430521482803,0.0034831305972469,False,included_if_finite,0.1941407817769389,0.1941407817769389,0.1941407817769389,0.1941407817769389,3
bag8,tabred_delivery_eta__gap_near,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,0.946211,0.1571228260314691,0.75 <= DAUC < 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5743301179802871,0.5710427299284566,0.0032873880518304,False,included_if_finite,0.5723864984464075,0.5723864984464075,0.5723864984464075,0.5723864984464075,1
bag8,tabred_delivery_eta__gap_far,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,0.999999625,0.2379337040655923,DAUC >= 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5576152367232049,0.5571313669081834,0.0004838698150214,False,included_if_finite,0.0867748553401982,0.0867748553401982,0.0867748553401982,0.0867748553401982,2
