model,method_key,complete_five_levels,effect_shift_0_0_pct,effect_shift_0_5_pct,effect_shift_1_0_pct,effect_shift_3_0_pct,effect_shift_5_0_pct,shift5_minus_shift0_pct,endpoint_direction,strictly_increasing,strictly_decreasing,nondecreasing,nonincreasing,exceeds_baseline_at_every_level,exceeds_baseline_at_any_level,below_baseline_at_every_level
bag8,joint_scaling,True,0.0464160054785008,-0.0110246545146277,0.0259020534643869,-0.0734117866332094,-0.1430615878430778,-0.1894775933215786,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_tsne_2d_p30,True,-0.0225643609038208,0.0384722988049326,-0.2980341979368201,-0.2597147986956549,-0.4682998526302165,-0.4457354917263957,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_tsne_2d_p50,True,0.1111245578959927,-0.1177130209148873,-0.1365839527224074,0.0790301973329738,-0.4147463636399177,-0.5258709215359104,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_tsne_3d_p30,True,0.1820071523777298,-0.2247352210190679,-0.1630319887148621,-0.4738008120465964,0.1919907966844369,0.00998364430670709,larger_benefit,False,False,False,False,False,True,False
bag8,label_prop_k10_a05,True,-0.0482280417282626,-0.6558529516273083,-1.5163781510318,-1.2867586897359338,-2.0284122093305377,-1.9801841676022751,smaller_benefit,False,False,False,False,False,False,True
bag8,label_prop_k15_a05,True,-0.8169249761236878,-0.9291406208524844,-1.7458433667659368,-1.3413737624340998,-1.7087796366663517,-0.8918546605426639,smaller_benefit,False,False,False,False,False,False,True
bag8,label_prop_k15_a08,True,-0.2641473295340921,-0.6564554807514302,-1.36200159121786,-1.205430411862779,-1.18745026923542,-0.9233029397013279,smaller_benefit,False,False,False,False,False,False,True
bag8,label_prop_v3_adaptive,True,-1.079047088672671,-0.282643155220243,-1.7537520842682282,-2.9723532194167146,-3.386769551909788,-2.3077224632371167,smaller_benefit,False,False,False,False,False,False,True
bag8,label_prop_v3_t005_k10,True,-0.1365914565032628,-0.801681284240298,-1.590471191753763,-1.696308339647136,-3.3441779356465178,-3.207586479143255,smaller_benefit,False,True,False,True,False,False,True
bag8,label_prop_v3_t005_k15,True,-0.8279775773222312,-0.5590086083498389,-1.3401221443207327,-2.0834715153313543,-3.425626812441312,-2.5976492351190807,smaller_benefit,False,False,False,False,False,False,True
bag8,label_prop_v3_t01_k15,True,-0.4656851169673237,-0.5590086083498389,-1.5818639377817476,-1.249355447841621,-2.558923600654194,-2.0932384836868705,smaller_benefit,False,False,False,False,False,False,True
bag8,label_prop_weighted_adaptive_a05,True,-0.1471111058635496,-0.3330601867969836,-0.7933367007608931,-1.500892249580722,-2.662046711384127,-2.514935605520577,smaller_benefit,False,True,False,True,False,False,True
bag8,label_prop_weighted_k10_a05,True,-0.0443497921979093,0.006293986661689,-0.7414924480579711,-1.2040357147074483,-1.7090291481851871,-1.664679355987278,smaller_benefit,False,False,False,False,False,True,False
bag8,label_prop_weighted_k15_a05,True,-0.1197337798977322,-0.7150310823604475,-0.7611478190687678,-1.6892239120510344,-2.5129136765830435,-2.3931798966853113,smaller_benefit,False,True,False,True,False,False,True
bag8,label_prop_weighted_k15_a08,True,0.0497039083572501,-0.3523004073421992,-0.1971478675648973,-0.7844299813292863,-1.582135906761904,-1.6318398151191542,smaller_benefit,False,False,False,False,False,True,False
bag8,leaf_density_conf,True,-0.2337280784610011,-0.4088567221568714,-0.7253779343248343,-1.6889544819187206,-6.7223476572074485,-6.488619578746447,smaller_benefit,False,True,False,True,False,False,True
bag8,leaf_density_conf_cumshift,True,0.0169724662322251,-0.0418350627004609,-0.4365210603526396,-1.2048836271825314,-5.545551529825855,-5.56252399605808,smaller_benefit,False,True,False,True,False,True,False
bag8,leaf_density_conf_deep,True,-0.2569401808297288,-0.2063580827327213,-0.1610648457828485,-1.6216603441716333,-3.163714571131688,-2.906774390301959,smaller_benefit,False,False,False,False,False,False,True
bag8,leaf_density_conf_shallow,True,0.2010622304083666,0.3481804108988363,-0.5212366729077161,-0.4952601296418281,-1.4988905470315588,-1.6999527774399255,smaller_benefit,False,False,False,False,False,True,False
bag8,leaf_density_embed_k10,True,0.4403494065048348,0.005626319253802,-0.1752684206676812,-2.0655306382870995,-4.906502627813783,-5.346852034318617,smaller_benefit,False,True,False,True,False,True,False
bag8,leaf_density_embed_k10_cumshift,True,0.2037351888585154,-0.0917472725786599,-0.0802273150080452,-3.89977928125073,-3.761668925993504,-3.9654041148520194,smaller_benefit,False,False,False,False,False,True,False
bag8,leaf_density_embed_k20,True,0.0695215174795328,0.1383211454176476,-0.3186289800620518,-3.3739943025036343,-6.255894189816567,-6.3254157072961,smaller_benefit,False,False,False,False,False,True,False
bag8,leaf_density_embed_k5,True,0.3414745416286798,0.0550418497188239,-0.2998407577723301,-1.695460427171967,-3.352270425907039,-3.693744967535719,smaller_benefit,False,True,False,True,False,True,False
bag8,nearest_test_k10_both,True,-0.3276505908713795,-0.327832839530823,-1.1604216301898187,-2.1176019735598874,-8.934375393240572,-8.606724802369193,smaller_benefit,False,True,False,True,False,False,True
