model,method_key,method_role,family,shift_bin,roster_band_datasets,execution_n_datasets,near_perfect_datasets_masked,n_fold_cells,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,band_status,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
tabpfn,target_enc_standard_m10,train_only_version,baselines,DAUC < 0.55,33,33,5,95,28,0.0535405481475696,0.0,-0.5106805165385118,0.4246652726740386,0.9643018618226051,-0.644210718621296,0.7512918149164352,9,9,10,0.47368421052631576,0.24447468946619613,0.7113567520830011,0.4380335800483057,0.5619664199516943,0.6761970520019531,0.5,-1.5594326839794779,2.15940904230625,-4.366025344691173,4.106685291485698,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.7198579655472356,1.0,0.9999999962747097,1.0,0.6026785714285714,1.0,False,False,False,False,False
tabpfn,target_enc_standard_m20,train_only_version,baselines,DAUC < 0.55,33,33,5,95,28,0.007021499379981866,0.0,-0.5080308629617116,0.171579417917855,0.9643018618226051,-0.7630537900595176,0.7770967888194813,9,7,12,0.42857142857142855,0.2181968568851302,0.6597936907197254,0.4926056223840175,0.5073943776159825,0.808344841003418,0.33181190490722656,-1.6646732784491047,1.9661061007737874,-5.143098908102911,4.815010440084148,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.6915429882005815,1.0,0.9999999962747097,1.0,0.47152218065763774,1.0,False,False,False,False,False
tabpfn,target_enc_standard_m5,train_only_version,baselines,DAUC < 0.55,33,33,5,95,28,0.01597040216377548,0.0,-0.4948757138932583,0.3334685740081838,0.9643018618226051,-0.7291680539025395,0.7611088582300903,9,9,10,0.47368421052631576,0.24447468946619613,0.7113567520830011,0.4826233940128984,0.5173766059871017,0.6761970520019531,0.5,-1.4396123663726452,1.9039600717852534,-5.61610723545342,4.368102087289319,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.6915429882005815,1.0,0.9999999962747097,1.0,0.6026785714285714,1.0,False,False,False,False,False
tabpfn,targeted_groupby_top3,test_time_variant,M14_groupby,DAUC < 0.55,33,33,5,95,28,-0.603601651740541,-0.23175047339160737,-0.8405666195287891,0.2164032015645121,0.9643018618226051,-2.1977549824571647,0.9905516789760825,9,1,18,0.3333333333333333,0.1651881796873157,0.5396072860922572,0.7780125737006104,0.2219874262993896,0.9738805070519447,0.06103906035423279,-4.706168023128508,2.916778232307141,-12.501270077530128,9.62282868132124,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.3995773673389013,1.0,0.9999999962747097,1.0,0.1420736749624384,1.0,False,False,False,False,False
tabpfn,targeted_groupby_top3_shifted_agg,test_time_variant,M14_groupby,DAUC < 0.55,33,33,5,95,28,-0.2249011401475217,-0.241178097846262,-1.202179944277736,0.2164032015645121,0.9643018618226051,-1.4801741295445203,1.0303718492494771,12,1,15,0.4444444444444444,0.25479880663173776,0.6467357696779945,0.6419873514792158,0.3580126485207841,0.7789658308029175,0.3505540192127228,-3.6029630271651154,2.6980053839651843,-6.834804309073206,9.62282868132124,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.5686083241212454,1.0,0.9999999962747097,1.0,0.48788445972904715,1.0,False,False,False,False,False
tabpfn,targeted_groupby_top5,test_time_variant,M14_groupby,DAUC < 0.55,33,33,5,95,28,-0.34677321338556066,-0.08940195159054784,-0.6795895830520347,0.2164032015645121,0.9643018618226051,-2.1543525141678064,1.4608060873966853,11,2,15,0.4230769230769231,0.23352198312744343,0.6308196190760335,0.6515276896576456,0.34847231034235443,0.8365302085876465,0.2785985469818115,-5.121533715956418,2.5423434805790683,-11.4972456513564,11.815267484865412,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.5682392229406574,1.0,0.9999999962747097,1.0,0.43350789570406584,1.0,False,False,False,False,False
tabpfn,targeted_groupby_top5_shifted_agg,test_time_variant,M14_groupby,DAUC < 0.55,33,33,5,95,28,0.02545703156301693,0.01482214103296975,-0.6795895830520347,0.4109973736095387,0.9643018618226051,-1.54486465705189,1.5957787201779239,14,2,12,0.5384615384615384,0.3337082184752923,0.7341287825770488,0.48685479658893804,0.5131452034110618,0.42250949144363403,0.7214014530181885,-3.601917309556442,2.306879457058413,-7.456036304994318,11.815267484865412,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.6915429882005815,1.0,0.9999999962747097,1.0,0.7791135692596436,1.0,False,False,False,False,False
tabpfn,tdda_k10_lam07_aug1,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-6.482905323747807,-5.975772997778241,-10.155710979704136,-1.6760650434359168,0.9733963012695312,-11.503410561939166,-1.4624000855564478,3,0,18,0.14285714285714285,0.03048896762151555,0.363423987016981,0.9930134875699528,0.006986512430047261,0.9998893737792969,0.0007448196411132812,-19.66878274422229,10.011004364200335,-33.777588023896016,13.139008462973996,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.05548112812096355,0.8313949791756241,0.9999999962747097,1.0,0.004570484161376953,0.08863353729248047,False,True,False,False,False
tabpfn,tdda_k5_lam06_aug1,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-6.165940195027476,-5.935203408849319,-11.410132249240675,-1.5686230123867586,0.9733963012695312,-10.868339331797397,-1.4635410582575537,3,0,18,0.14285714285714285,0.03048896762151555,0.363423987016981,0.9936224475186378,0.006377552481362158,0.9998893737792969,0.0007448196411132812,-16.303454357152454,5.780307141906397,-35.11353391976251,13.157813473858852,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.05544359671615624,0.7971940601702698,0.9999999962747097,1.0,0.004570484161376953,0.08863353729248047,False,True,False,False,False
tabpfn,tdda_k5_lam07_aug1,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-6.553291984663926,-5.975772997778241,-10.505050978938584,-1.6760650434359168,0.9733963012695312,-11.563242562181129,-1.5433414071467233,3,0,18,0.14285714285714285,0.03048896762151555,0.363423987016981,0.9935289415519034,0.006471058448096657,0.9998893737792969,0.0007448196411132812,-19.66878274422229,10.011004364200335,-33.777588023896016,12.516471983676832,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.05544359671615624,0.7982157107539912,0.9999999962747097,1.0,0.004570484161376953,0.08863353729248047,False,True,False,False,False
