model,dataset,configurations,primary_positive,primary_zero,primary_negative,among_primary_positive_accuracy_positive,among_primary_positive_accuracy_zero,among_primary_positive_accuracy_negative,among_primary_positive_log_loss_positive,among_primary_positive_log_loss_zero,among_primary_positive_log_loss_negative,among_primary_positive_both_alternatives_positive
bag8,in_vehicle_coupon_recommendation,134,38,10,86,38,0,0,35,0,3,35
bag8,jm1,134,40,17,77,18,4,18,32,0,8,16
bag8,kddcup09_appetency,134,28,0,106,1,25,2,22,0,6,1
bag8,lending_club,133,45,0,88,16,6,23,39,0,6,16
bag8,maternal_health_risk,134,48,25,61,44,1,3,46,0,2,42
bag8,online_shoppers_intention,134,70,3,61,41,2,27,52,0,18,32
bag8,polish_companies_bankruptcy,134,24,28,82,19,3,2,8,0,16,5
bag8,qsar-biodeg,134,41,3,90,6,4,31,28,0,13,6
bag8,seismic-bumps,134,33,5,96,1,28,4,22,0,11,1
bag8,splice,134,0,0,0,0,0,0,0,0,0,0
bag8,students_dropout_and_academic_success,134,46,4,84,33,0,13,37,0,9,27
bag8,synthetic_label_shift,132,11,1,120,4,0,7,7,0,4,3
bag8,synthetic_large_test,134,31,7,96,29,0,2,20,0,11,20
bag8,synthetic_partial_shift,132,25,1,106,18,1,6,20,0,5,15
bag8,synthetic_shift_0.0,134,67,4,63,31,5,31,50,0,17,28
bag8,synthetic_shift_0.5,134,49,1,84,15,1,33,31,0,18,10
bag8,synthetic_shift_1.0,134,21,1,112,6,1,14,9,0,12,1
bag8,synthetic_shift_3.0,134,18,1,115,5,0,13,10,0,8,3
bag8,synthetic_shift_5.0,134,25,1,108,15,0,10,5,0,20,4
bag8,synthetic_small_test,134,5,7,122,4,0,1,5,0,0,4
bag8,tabred_ecom_offers,132,67,21,44,26,0,41,41,0,26,14
bag8,tabred_homesite,119,46,0,73,36,4,6,37,0,9,32
bag8,tabred_homesite__gap_far,134,69,5,60,37,5,27,48,0,21,20
bag8,tabred_homesite__gap_near,134,49,5,80,37,4,8,42,0,7,32
bag8,taiwanese_bankruptcy_prediction,134,28,28,78,24,1,3,15,0,13,14
bag8,tschalzev_ogpcc,133,40,11,82,25,5,10,28,0,12,14
bag8,tschalzev_sctp,130,9,40,81,2,0,7,3,0,6,2
bag8,website_phishing,134,10,21,103,7,3,0,6,0,4,6
bag8,wine_quality,134,26,20,88,7,0,19,24,0,2,7
tabicl,Amazon_employee_access,125,51,9,65,28,11,12,35,0,16,25
tabicl,Bank_Customer_Churn,125,6,0,119,0,1,5,5,0,1,0
tabicl,E-CommereShippingData,125,34,0,91,13,4,17,27,0,7,10
tabicl,Fitness_Club,125,53,3,69,24,18,11,6,0,47,3
tabicl,HR_Analytics_Job_Change_of_Data_Scientists,125,61,0,64,45,2,14,16,0,45,13
tabicl,Is-this-a-good-customer,125,66,3,56,48,7,11,64,0,2,48
tabicl,MIC,124,21,1,102,20,1,0,16,0,5,16
tabicl,Marketing_Campaign,125,21,4,100,14,0,7,20,0,1,14
tabicl,NATICUSdroid,125,0,0,0,0,0,0,0,0,0,0
tabicl,anneal,125,0,0,0,0,0,0,0,0,0,0
tabicl,blood-transfusion-service-center,125,23,2,100,12,6,5,6,0,17,4
tabicl,churn,125,5,0,120,0,4,1,1,0,4,0
tabicl,coil2000_insurance_policies,124,39,0,85,7,20,12,38,0,1,7
tabicl,credit-g,125,3,2,120,0,0,3,0,0,3,0
tabicl,credit_card_clients_default,125,18,0,107,0,2,16,12,0,6,0
tabicl,diabetes,125,15,15,95,13,0,2,6,0,9,5
tabicl,gas_sensor_drift,125,51,3,71,39,6,6,38,0,13,27
tabicl,hazelnut-spread-contaminant-detection,125,0,0,0,0,0,0,0,0,0,0
tabicl,heloc,125,19,3,103,18,1,0,16,0,3,16
tabicl,in_vehicle_coupon_recommendation,125,30,1,94,13,5,12,28,0,2,13
tabicl,jm1,125,14,1,110,0,14,0,11,0,3,0
tabicl,maternal_health_risk,125,18,20,87,6,2,10,6,0,12,6
tabicl,online_shoppers_intention,125,15,0,110,6,3,6,13,0,2,6
tabicl,polish_companies_bankruptcy,125,0,0,0,0,0,0,0,0,0,0
tabicl,qsar-biodeg,125,8,4,113,2,0,6,3,0,5,2
tabicl,seismic-bumps,125,20,1,104,0,17,3,6,0,14,0
tabicl,splice,125,0,0,0,0,0,0,0,0,0,0
tabicl,students_dropout_and_academic_success,125,48,0,77,42,4,2,44,0,4,39
tabicl,synthetic_large_test,125,37,1,87,22,1,14,31,0,6,18
tabicl,synthetic_shift_0.0,125,20,4,101,11,1,8,9,0,11,3
tabicl,synthetic_shift_0.5,125,19,0,106,7,1,11,6,0,13,5
tabicl,synthetic_shift_1.0,125,27,1,97,3,3,21,7,0,20,2
tabicl,synthetic_shift_3.0,125,31,1,93,4,1,26,14,0,17,4
tabicl,synthetic_shift_5.0,125,28,1,96,22,1,5,3,0,25,2
tabicl,synthetic_small_test,125,47,1,77,20,2,25,20,0,27,10
tabicl,tabred_homesite__gap_far,115,27,0,88,19,0,8,6,0,21,6
tabicl,tabred_homesite__gap_near,115,32,0,83,26,1,5,25,0,7,22
tabicl,taiwanese_bankruptcy_prediction,125,70,11,44,59,6,5,57,0,13,53
tabicl,website_phishing,125,0,0,0,0,0,0,0,0,0,0
tabicl,wine_quality,125,19,0,106,12,4,3,10,0,9,9
tabpfn,Bank_Customer_Churn,113,17,0,96,12,2,3,11,0,6,7
tabpfn,E-CommereShippingData,113,50,0,63,19,0,31,20,0,30,11
tabpfn,Fitness_Club,125,10,3,112,5,2,3,3,0,7,2
tabpfn,Is-this-a-good-customer,125,68,0,57,0,35,33,47,0,21,0
tabpfn,MIC,116,22,0,94,18,2,2,15,0,7,13
tabpfn,Marketing_Campaign,124,24,0,100,20,0,4,20,0,4,19
tabpfn,NATICUSdroid,124,0,0,0,0,0,0,0,0,0,0
tabpfn,anneal,123,0,0,0,0,0,0,0,0,0,0
tabpfn,blood-transfusion-service-center,125,32,27,66,14,3,15,7,0,25,4
tabpfn,churn,125,67,0,58,17,0,50,14,0,53,5
tabpfn,coil2000_insurance_policies,110,16,0,94,0,16,0,10,0,6,0
tabpfn,credit-g,124,38,0,86,32,0,6,35,0,3,29
tabpfn,diabetes,125,11,18,96,9,1,1,6,0,5,4
tabpfn,gas_sensor_drift,109,52,29,28,49,0,3,46,0,6,45
tabpfn,hazelnut-spread-contaminant-detection,125,0,0,0,0,0,0,0,0,0,0
tabpfn,heloc,113,27,18,68,6,0,21,8,0,19,2
tabpfn,jm1,111,47,17,47,34,1,12,38,0,9,30
tabpfn,maternal_health_risk,125,36,25,64,25,3,8,24,0,12,14
tabpfn,online_shoppers_intention,104,87,0,17,75,3,9,85,0,2,73
tabpfn,polish_companies_bankruptcy,124,31,28,65,20,3,8,30,0,1,19
tabpfn,qsar-biodeg,123,56,0,67,4,1,51,40,0,16,3
tabpfn,seismic-bumps,125,41,0,84,0,26,15,25,0,16,0
tabpfn,splice,125,0,0,0,0,0,0,0,0,0,0
tabpfn,students_dropout_and_academic_success,123,25,0,98,1,0,24,17,0,8,1
tabpfn,synthetic_large_test,119,10,0,109,9,0,1,9,0,1,9
tabpfn,synthetic_shift_0.0,105,0,1,104,0,0,0,0,0,0,0
tabpfn,synthetic_shift_0.5,105,4,1,100,0,0,4,4,0,0,0
tabpfn,synthetic_shift_1.0,105,14,1,90,11,0,3,11,0,3,10
tabpfn,synthetic_shift_3.0,105,27,1,77,12,1,14,27,0,0,12
tabpfn,synthetic_shift_5.0,105,21,1,83,2,0,19,12,0,9,0
tabpfn,tabred_homesite__gap_far,91,24,0,67,6,0,18,11,0,13,5
tabpfn,tabred_homesite__gap_near,91,75,0,16,64,2,9,64,0,11,58
tabpfn,taiwanese_bankruptcy_prediction,123,9,17,97,0,0,9,0,0,9,0
tabpfn,website_phishing,125,0,0,0,0,0,0,0,0,0,0
tabpfn,wine_quality,124,28,1,95,11,0,17,3,0,25,1
