model,dataset,source_id,dataset_family,task_type,n_folds,has_repeated_folds,near_perfect_base,available_test_time_configurations,finite_relative_test_time_configurations,available_train_only_configurations,median_effect_pct,q1_effect_pct,q3_effect_pct,positive_configurations,zero_configurations,negative_configurations,positive_configuration_share,zero_configuration_share,negative_configuration_share,families_with_finite_results,family_balanced_mean_of_family_medians_pct,family_balanced_median_of_family_medians_pct,family_balanced_q1_pct,family_balanced_q3_pct,positive_families,zero_families,negative_families,best_exact_configuration,best_exact_family,best_exact_effect_pct,best_is_selected_after_labels
bag8,physiochemical_protein,source::physiochemical_protein,TabArena_IID,regression,3,True,False,125,125,10,0.0,-1.3552573691007106,0.1178851136638704,51,28,46,0.408,0.224,0.368,16,-2.1551096591381933,0.0,-0.7889813870605624,0.06241551710294563,6,4,6,joint_pca_10,M3_joint_pca,3.836180669287651,True
bag8,polish_companies_bankruptcy,source::polish_companies_bankruptcy,TabArena_IID,classification,3,True,False,134,134,10,-0.3055689292634662,-2.7863984327526894,0.0,24,28,82,0.1791044776119403,0.208955223880597,0.6119402985074627,17,-4.245710978157767,-0.4108444511133032,-7.091258192630003,0.0,2,4,11,pseudo_label_lgbm_conf80_iter5,M7_pseudo_labeling,4.791938636355106,True
bag8,qsar-biodeg,source::qsar-biodeg,TabArena_IID,classification,3,True,False,134,134,10,-0.7258270602579696,-4.641284745292357,0.2390461518242413,41,3,90,0.30597014925373134,0.022388059701492536,0.6716417910447762,17,-2.7886641839217745,-0.9768474237192079,-4.548740152305943,0.2390461518242413,5,1,11,joint_tsne_3d_p30,M3b_joint_tsne,5.160739188527974,True
bag8,seismic-bumps,source::seismic-bumps,TabArena_IID,classification,3,True,False,134,134,10,-0.5414007432214866,-3.7322244088531247,0.0,33,5,96,0.2462686567164179,0.03731343283582089,0.7164179104477612,17,-2.0307881950508815,-0.4358550062159222,-2.954427554430151,-0.1385155249864646,2,0,15,joint_pca_10,M3_joint_pca,12.93947692619015,True
bag8,shifts_weather,source::shifts_weather,real_shift,regression,1,False,False,125,125,10,-0.2760687289874604,-1.2302363177152378,0.0,29,17,79,0.232,0.136,0.632,16,-2.204043860872142,-0.42705848205314534,-1.1321860405023374,0.0,3,3,10,leaf_density_conf_shallow,M18_leaf_density,0.8945925817966213,True
bag8,splice,source::splice,TabArena_IID,classification,3,True,True,134,0,10,,,,0,0,0,,,,0,,,,,0,0,0,,,,False
bag8,students_dropout_and_academic_success,source::students_dropout_and_academic_success,TabArena_IID,classification,3,True,False,134,134,10,-0.7353034931188632,-1.9740016605984245,0.3431727806689697,46,4,84,0.34328358208955223,0.029850746268656716,0.6268656716417911,17,-0.910769277050732,-0.7924624156039223,-1.7275883008251935,0.3366344117186429,6,0,11,target_enc_inv_ratio,M4_target_encoding,1.6288956292236991,True
bag8,superconductivity,source::superconductivity,TabArena_IID,regression,3,True,False,125,125,10,-0.129953431618688,-1.720242429956083,0.0,21,17,87,0.168,0.136,0.696,16,-1.6291957448317007,-0.07098606377879457,-1.6516434929398303,-0.0034919791362250504,1,3,12,adversarial_reweight_lgbm_raw_hard,M6_adversarial_validation,0.212480902233636,True
bag8,synthetic_label_shift,source::synthetic_generator,synthetic,classification,1,False,False,132,132,10,-0.054545466048254,-0.5673478880820954,-0.020325115618347,11,1,120,0.08333333333333333,0.007575757575757576,0.9090909090909091,17,-0.9010725930906658,-0.0527219141845926,-0.1436248683529222,-0.025071689651130852,1,0,16,leaf_density_conf_shallow,M18_leaf_density,0.2914073545015147,True
bag8,synthetic_large_test,source::synthetic_generator,synthetic,classification,1,False,False,134,134,10,-0.21405357030659006,-1.3722269553479642,0.0,31,7,96,0.23134328358208955,0.05223880597014925,0.7164179104477612,17,-1.4538744056442394,-0.1574330826454793,-0.7674400009230818,0.0121522151131727,5,0,12,leaf_density_embed_k20,M18_leaf_density,0.4548868178495561,True
bag8,synthetic_partial_shift,source::synthetic_generator,synthetic,classification,1,False,False,132,132,10,-0.04908350427299965,-0.3251961457835285,-0.009341620920507675,25,1,106,0.1893939393939394,0.007575757575757576,0.803030303030303,17,-0.8707356440492833,-0.0374632182869983,-0.1026121464803867,-0.0116729747657495,2,0,15,joint_pca_10,M3_joint_pca,0.0476994680936388,True
bag8,synthetic_shift_0.0,source::synthetic_generator,synthetic,classification,1,False,False,134,134,10,0.0015742577375068,-0.25113715523754687,0.11410088893093127,67,4,63,0.5,0.029850746268656716,0.4701492537313433,17,-1.226239222508013,0.030952202911391953,-0.045948647712546,0.0960461205042284,10,0,7,leaf_density_embed_k10,M18_leaf_density,0.4403494065048348,True
bag8,synthetic_shift_0.5,source::synthetic_generator,synthetic,classification,1,False,False,134,134,10,-0.0974631569724544,-0.5588254069269594,0.0579486456285002,49,1,84,0.3656716417910448,0.007462686567164179,0.6268656716417911,17,-1.5324212300456508,-0.10993713829929955,-0.558275802658321,0.0,4,1,12,leaf_density_conf_shallow,M18_leaf_density,0.3481804108988363,True
bag8,synthetic_shift_1.0,source::synthetic_generator,synthetic,classification,1,False,False,134,134,10,-0.3510908530182333,-1.428647590840013,-0.05542726304339755,21,1,112,0.15671641791044777,0.007462686567164179,0.835820895522388,17,-1.7172092752966464,-0.309234868917191,-1.36200159121786,-0.0644179091583097,3,0,14,ot_disp_v2_selective_and_summary_abs,M9_optimal_transport,0.2384658982926081,True
bag8,synthetic_shift_3.0,source::synthetic_generator,synthetic,classification,1,False,False,134,134,10,-1.2051570195226553,-3.7807624825197195,-0.1350003451082433,18,1,115,0.13432835820895522,0.007462686567164179,0.8582089552238806,17,-2.4849813794178517,-0.8379990311609329,-2.1176019735598874,-0.1350003451082433,0,0,17,pseudo_label_v2_cal_iso_wfixed_conf90,M7_pseudo_labeling,0.2808254420021185,True
bag8,synthetic_shift_5.0,source::synthetic_generator,synthetic,classification,1,False,False,134,134,10,-1.7089043924257694,-6.411526999683066,-0.04085959047012533,25,1,108,0.1865671641791045,0.007462686567164179,0.8059701492537313,17,-3.5233333216405676,-1.641777476811456,-4.871042882463538,-0.1430615878430778,4,0,13,target_enc_oof_absolute,M4_target_encoding,0.3652765465076862,True
bag8,synthetic_small_test,source::synthetic_generator,synthetic,classification,1,False,False,134,134,10,-0.25457548036998146,-0.675156742295997,-0.076073106255139,5,7,122,0.03731343283582089,0.05223880597014925,0.9104477611940298,17,-1.0831393282670232,-0.156457021864671,-0.5521639629016745,-0.076073106255139,0,0,17,adversarial_lgbm_cal_iso_feature,M6_adversarial_validation,0.1833995803300099,True
