model,dataset,source_id,conceptual_family,available_configurations,finite_relative_configurations,selector_wrappers,median_effect_pct,mean_effect_pct,q1_effect_pct,q3_effect_pct,positive_configurations,zero_configurations,negative_configurations,best_configuration,best_effect_pct,worst_effect_pct
bag8,E-CommereShippingData,source::E-CommereShippingData,M14_groupby_aggregation,9,9,2,-0.5191507835585152,-0.4553235284751186,-0.6856563152834624,-0.2993890878858699,0,0,9,joint_groupby_combined__sel_combined_intersection,-0.0341673602609736,-0.8060328674493918
bag8,E-CommereShippingData,source::E-CommereShippingData,M14b_groupby_shift_features,6,6,2,-0.3037282720516888,-0.275428809565539,-0.3037282720516888,-0.3030711077017822,0,0,6,groupby_shift_cohen_d__sel_combined_intersection,-0.0310536059642666,-0.407482382355421
bag8,E-CommereShippingData,source::E-CommereShippingData,M16_nearest_test_distance,7,7,0,-0.6537993135939668,-0.6851805848943535,-1.298681389761432,0.06113813879915275,2,0,5,nearest_test_k10_cumshift_both,0.2196362383661907,-1.88701451710814
bag8,E-CommereShippingData,source::E-CommereShippingData,M17_test_directed_augmentation,12,12,0,-1.0403168005150203,-0.9607474939341939,-1.1568811984698164,-0.9608297186136847,1,0,11,tdda_v2_k5_lam07_nopfl_dw,0.04623189172861,-1.833547960018688
bag8,E-CommereShippingData,source::E-CommereShippingData,M18_leaf_density,8,8,0,0.2539530960804119,-0.0026533418926057983,-0.9354452064339519,0.926514923797599,4,0,4,leaf_density_embed_k20,1.673520505804644,-2.191699046891209
bag8,E-CommereShippingData,source::E-CommereShippingData,M19_neighborhood_consensus,6,6,0,-1.923898017405144,-1.9272185668600814,-2.188997998590641,-1.7429912710421052,0,0,6,neighbor_consensus_k5_dist,-0.2900807741892155,-3.465380910920752
bag8,E-CommereShippingData,source::E-CommereShippingData,M1_frequency_encoding,6,6,4,-0.1585146407743859,-0.19018279735254418,-0.29249175071312317,-0.11902828645503252,0,0,6,joint_freq_separate__sel_combined_intersection,-0.0051219669420378,-0.3759285799165052
bag8,E-CommereShippingData,source::E-CommereShippingData,M20_cluster_membership,8,8,0,-0.19024217798798845,-0.27634074878995657,-0.4238951100027347,0.016677586931738403,2,0,6,cluster_membership_k10_both_cumshift,0.1432766068133542,-0.9298047196176072
bag8,E-CommereShippingData,source::E-CommereShippingData,M2_frequency_ratio,7,7,2,-0.3838857538566868,-0.31060566690617103,-0.5967116626711542,0.0,0,3,4,freq_ratio_v2_both_gated,0.0,-0.5969305891442022
bag8,E-CommereShippingData,source::E-CommereShippingData,M3_joint_pca,4,4,0,0.35675250168300676,0.35675250168300676,0.1129816079234301,0.6005233954425835,4,0,0,joint_pca_5,0.6005233954425835,0.1129816079234301
bag8,E-CommereShippingData,source::E-CommereShippingData,M3b_joint_tsne,3,3,0,-0.3441816097689583,-0.3800864885720657,-0.5882374189288911,-0.1539831188136865,1,0,2,joint_tsne_2d_p50,0.0362153721415853,-0.832293228088824
bag8,E-CommereShippingData,source::E-CommereShippingData,M4_target_encoding,12,12,2,-0.1733367274347576,0.1587278413747185,-0.216674154375841,0.6732708124781004,5,0,7,target_enc_oof_absolute,0.6732708124781004,-0.2482498935210012
bag8,E-CommereShippingData,source::E-CommereShippingData,M5_joint_scaling,1,1,0,-0.4343657623657377,-0.4343657623657377,-0.4343657623657377,-0.4343657623657377,0,0,1,joint_scaling,-0.4343657623657377,-0.4343657623657377
bag8,E-CommereShippingData,source::E-CommereShippingData,M6_adversarial_validation,16,16,0,-0.41427609867951076,-0.4028403857298081,-0.6446163220751715,-0.26280754157460345,3,0,13,adversarial_lgbm_cal_iso_feature,0.4399275029632739,-1.2024223244398358
bag8,E-CommereShippingData,source::E-CommereShippingData,M7_pseudo_labeling,9,9,0,-0.2965354952403506,-0.2907860714911243,-0.3977923055480361,-0.0991714447375648,1,0,8,pseudo_label_lgbm_conf90_iter3,0.1692703650236519,-0.8721751270893602
bag8,E-CommereShippingData,source::E-CommereShippingData,M8_label_propagation,11,11,0,0.7222288151486795,0.6344360690350606,0.36555539684485927,0.9406968833664082,10,0,1,label_prop_k15_a05,1.3924049615939882,-0.5376992707797119
bag8,E-CommereShippingData,source::E-CommereShippingData,M9_optimal_transport,9,9,0,-1.8145514900577828,-1.6854342425492908,-2.9233037299360265,-0.3801665438233744,1,0,8,ot_disp_v2_selective_and_summary_abs,0.0087524931743234,-3.751573596049888
bag8,Fitness_Club,source::Fitness_Club,M14_groupby_aggregation,9,9,2,-0.0222331598913818,-0.1401104995509228,-0.2918446070521818,0.0335207817918843,3,0,6,joint_groupby_mean_only,0.3631145233753637,-0.6799250372317311
bag8,Fitness_Club,source::Fitness_Club,M14b_groupby_shift_features,6,6,2,-0.32350098323590515,-0.27551192166817223,-0.5206552577082665,-0.2829908765485118,1,0,5,groupby_shift_cohen_d__sel_combined_intersection,0.522139769655682,-0.6723484763411375
bag8,Fitness_Club,source::Fitness_Club,M16_nearest_test_distance,7,7,0,-0.9096702453111576,-0.9311851342167279,-2.0341345006120415,0.0019861816840450186,2,0,5,nearest_test_rel_k10_cumshift_both,0.96377679879065,-2.5081058551405944
bag8,Fitness_Club,source::Fitness_Club,M17_test_directed_augmentation,12,12,0,-6.964002686468415,-6.880462899719661,-9.292613171669391,-4.605115601757198,0,0,12,tdda_k5_lam06_aug1,-2.539381356572306,-10.079151684164218
bag8,Fitness_Club,source::Fitness_Club,M18_leaf_density,8,8,0,0.9370489123141403,0.9903003201675642,0.5120496074702205,1.763323125914092,6,0,2,leaf_density_conf,2.521962366606458,-1.0468429347653336
bag8,Fitness_Club,source::Fitness_Club,M19_neighborhood_consensus,6,6,0,-15.556714654096108,-15.249209303572115,-16.121790965541987,-13.667472175259471,0,0,6,neighbor_consensus_k5_dist_cumshift,-12.79570582031832,-18.23824627458428
bag8,Fitness_Club,source::Fitness_Club,M1_frequency_encoding,6,6,4,0.5622321729315544,0.41610714071594157,0.08027014640455404,0.7106224947394771,4,0,2,joint_freq_combined,0.7499729061815065,-0.0574964806533045
bag8,Fitness_Club,source::Fitness_Club,M20_cluster_membership,8,8,0,-2.2263801637970912,-1.0611318886534817,-2.2820977598196515,0.48681103274195425,3,0,5,cluster_membership_k5_both,1.5413582513966235,-2.5088908489624786
