model,dataset,n_folds,configurations,all_positive_configurations,all_negative_configurations,all_zero_configurations,mixed_configurations,positive_dataset_average_configurations,negative_dataset_average_configurations,exact_configuration_median_by_fold_pct,family_balanced_median_by_fold_pct,family_balanced_positive_folds,family_balanced_zero_folds,family_balanced_negative_folds
bag8,website_phishing,3,134,0,74,21,39,10,103,0:-2.464652735;1:-12.811255212;2:-8.452143142,0:-0.222498093;1:-10.383682141;2:-2.027734514,0,0,3
bag8,wine_quality,3,134,7,23,20,84,26,88,0:-9.776064718;1:1.168292481;2:-0.548107529,0:-7.230095981;1:1.314741454;2:-0.633409859,1,0,2
tabicl,Amazon_employee_access,3,125,29,48,9,39,51,65,0:-0.334128692;1:0.000000000;2:-0.068375312,0:0.000000000;1:0.000000000;2:0.000000000,0,3,0
tabicl,Another-Dataset-on-used-Fiat-500,3,116,6,56,1,53,31,84,0:-0.370408143;1:-1.125221560;2:-1.051766495,0:-0.113090574;1:-1.177703359;2:-1.267089257,0,0,3
tabicl,Bank_Customer_Churn,3,125,0,99,0,26,6,119,0:-4.298255770;1:-3.126567150;2:-1.944638962,0:-4.298255770;1:-2.941438380;2:-1.644411175,0,0,3
tabicl,E-CommereShippingData,3,125,4,44,0,77,34,91,0:-0.523582532;1:-1.485690593;2:0.000060762,0:-0.523702633;1:-1.286499415;2:0.287801040,1,0,2
tabicl,Fitness_Club,3,125,4,37,3,81,53,69,0:0.114047702;1:-0.149142431;2:-0.481099656,0:0.074378936;1:-0.053265154;2:-0.423825888,1,0,2
tabicl,HR_Analytics_Job_Change_of_Data_Scientists,3,125,17,27,0,81,61,64,0:-0.109299292;1:0.310860328;2:-0.292433877,0:-0.138960701;1:0.363160080;2:-0.010055224,1,0,2
tabicl,Is-this-a-good-customer,3,125,42,15,3,65,66,56,0:0.000000000;1:0.000000000;2:1.991481524,0:0.806993948;1:0.076229196;2:1.933924255,3,0,0
tabicl,MIC,3,124,2,74,1,47,21,102,0:-3.663085609;1:-3.718788868;2:-5.713269164,0:-2.111167944;1:-2.967976884;2:-5.125337346,0,0,3
tabicl,Marketing_Campaign,3,125,4,63,4,54,21,100,0:-4.299987353;1:-1.325019486;2:-5.241521069,0:-3.794106488;1:-0.171473110;2:-2.862281603,0,0,3
tabicl,NATICUSdroid,0,125,0,0,0,125,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabicl,QSAR_fish_toxicity,3,116,2,59,7,48,22,87,0:-0.593723078;1:-0.345418087;2:-1.196558237,0:-0.307390548;1:-0.514951612;2:-1.122422418,0,0,3
