model,dataset,source_id,pair,conceptual_family,joint_method_key,train_only_method_key,pair_quality,n_shared_folds,near_perfect_base,joint_mean_error,train_only_mean_error,baseline_mean_error,joint_vs_inductive_pct,train_only_vs_inductive_pct,joint_premium_vs_train_only_pct,joint_premium_on_inductive_scale_pct,absolute_error_decrease_joint_vs_train_only,joint_better_folds,tie_folds,joint_worse_folds
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,scaling_train_only,scaling,joint_scaling,train_only_scaling,closer_pair_but_cat_encoding_also_differs,3,False,0.13392215404539973,0.13386790655149883,0.1341471949045324,0.16775666408292536,0.20819544771869622,-0.04052315099140713,-0.040438783635770845,-5.424749390089967e-05,1,0,2
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,target_m10,target encoding,target_enc_ratio,target_enc_standard_m10,loose_regularization_sensitivity,3,False,0.13414590009439034,0.13414590009439034,0.1341471949045324,0.0009652159651724678,0.0009652159651724678,0.0,0.0,0.0,0,3,0
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,target_m20,target encoding,target_enc_ratio,target_enc_standard_m20,loose_regularization_sensitivity,3,False,0.13414590009439034,0.13414590009439034,0.1341471949045324,0.0009652159651724678,0.0009652159651724678,0.0,0.0,0.0,0,3,0
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,target_m5,target encoding,target_enc_ratio,target_enc_standard_m5,loose_regularization_sensitivity,3,False,0.13414590009439034,0.13414590009439034,0.1341471949045324,0.0009652159651724678,0.0009652159651724678,0.0,0.0,0.0,0,3,0
bag8,Bioresponse,source::Bioresponse,frequency_combined,frequency encoding,joint_freq_combined,freq_enc_train_only,same_hyperparameters,3,False,0.12509248702085657,0.12509248702085657,0.12509248702085657,0.0,0.0,0.0,0.0,0.0,0,3,0
bag8,Bioresponse,source::Bioresponse,pca_10,principal component analysis,joint_pca_10,pca_train_only_10,same_hyperparameters,3,False,0.12664905661708697,0.12702431028775843,0.12509248702085657,-1.2443349982888106,-1.5443159800474424,0.29541878229557983,0.299980981758632,0.0003752536706714549,2,0,1
bag8,Bioresponse,source::Bioresponse,pca_5,principal component analysis,joint_pca_5,pca_train_only_5,same_hyperparameters,3,False,0.1259931993321698,0.12528298415339137,0.12509248702085657,-0.720037096362988,-0.15228503091719564,-0.5668887786938922,-0.5677520654457923,-0.0007102151787784228,0,0,3
bag8,Bioresponse,source::Bioresponse,pca_var90,principal component analysis,joint_pca_var90,pca_train_only_var90,same_hyperparameters,3,False,0.13593806886560442,0.13334499722513427,0.12509248702085657,-8.670050538638321,-6.5971269744615135,-1.9446336153819965,-2.0729235641768082,-0.0025930716404701515,1,0,2
bag8,Bioresponse,source::Bioresponse,pca_var95,principal component analysis,joint_pca_var95,pca_train_only_var95,same_hyperparameters,3,False,0.13948893175599375,0.1364235923495526,0.12509248702085657,-11.508640589052222,-9.058182148706338,-2.246927641801841,-2.4504584403458836,-0.0030653394064411588,1,0,2
bag8,Bioresponse,source::Bioresponse,scaling_train_only,scaling,joint_scaling,train_only_scaling,closer_pair_but_cat_encoding_also_differs,3,False,0.12559902735040573,0.12500465157649035,0.12509248702085657,-0.40493265551967994,0.07021640264580725,-0.47548292517073715,-0.4751490581654872,-0.0005943757739153843,1,0,2
